제목,내용,댓글,작성일자,URL
요즘 한국 가계부채의 특징,"1. 원금 상환 없이 이자만 냄2. 가능한 최대한도로 대출 규모 크게 끌어옴3. 2년짜리 단기부채인 전세보증금으로 부동산, 주식 올인 (단기부채 끌어다가 장기대출해주고 땅사고 시설투자해서 좆망한게 97년 외환위기사태)4. 신규 세입자한테 30% 올려받아서 기존 세입자한테 보증금 돌려주고 남는 돈으로 또 빌라 같은거 갭투기하던 기존 시스템 무너지면 imf외환위기보다 더 큰 금융위기 터짐. 지금 전세자금대출잔고 규모가 하이닉스+현대차+lg화학+카카오+네이버 시총 다 합친거보다 더 크기 때문.",퀀트5년차 (2022.12.31 22:12:35): 집주인이 빚 내서 산 아파트에 세입자가 빚내서 전세 입주. 대환장 콜라보 77ㅓ억|ㅇㅇ (2022.12.31 22:13:31): 5년동안 문정권이 개지랄 해서 그럼.$ $부동산법 20여번 고칠때마다 폭등만 함|ㅇㅇ (2022.12.31 22:14:58): 말로는 부동산 가격 잡겠다고 하고 실제로는 전세대출 100조 넘게 뿌림|ㅇㅇ (2022.12.31 22:15:15): 3번은 임마 달러가아니라 원화로 레버리지해서 괜찮아ㅋ컄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅇㅇ (2022.12.31 22:17:11): 내년부터 전세보증금 갭투자 유동성위기 터지면 은행 부실채권 늘어나고 국가신용등급 떨어지는데 뭐가 괜찮아 ㅋㅋㅋㅋ|ㅇㅇ (2022.12.31 22:15:35): ㅇㅅㅇ|00 (2023.01.01 00:11:16): 전세자금 여신규모는 800-900조로 추산되는데 이는 코스피 전체시총의 60프로가 넘는다. ㅋㅋ|데헤 (2023.01.01 00:38:48): imf는 안간다. 걱정마라. 은행 스트레스 테스트 마쳤다. 이미.|ㅇㅇ (2023.01.01 15:04:55): 출산율 0.7이라 그딴거 무의미,2022-12-31 22:11:16,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2552590&exception_mode=recommend&search_pos=-2555350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
지금 전문가들이 IMF 급으로 예상하는 이유가,"2년물 5년물 10년물 할 것 없이근래 미 국채 금리가 쩜상으로 뛰었음차트에서 봐도 알 수 있듯이2000년 이후 저렇게 쩜상으로 띄운 적이 없었는데그리고 현 금리 수준이2000~2005년과 동일2005 때의 나스닥 지수가 3000대 였으니앞으로 나스닥이 4자리 수 가는걸 걱정해야 하는게 아닌5000~6000 가는 거를 염두에 둬야 할 수도,나스닥이 그 지경까지 간다면한국은 최소 미중 무역분쟁 급의 수출 타격이 올꺼고세계적으론 대만 해협 상에서의 미중 직접 충돌내지 벨라루스의 러우전 참전에 따른 전쟁 양상의 격화등이 따를 듯","ㅇㅇ (2022.12.31 03:11:30): 내년에 좆스피 1450, 부동산 1/10토막 ㄱㄱ|ㅇㅇ (2022.12.31 03:40:13): 일단 알겠는데계좌 보여주고 쓰면 더 신빙성있었을 듯|ㅇㅇ (2022.12.31 04:08:57): 그래서 imf는 예측했냐|ㅇㄱ (2022.12.31 04:53:37): dㄷㄷ|ㅇㅇ (2022.12.31 05:20:12): 개솔ㄴ - dc App|카운터 (2022.12.31 07:42:59): 코스피 600 2023 겨울|ㅇㅇ (2022.12.31 09:53:54): 망한다 망한다 이러면 안 망함. 진짜 폭망은 그냥 옴. IMF가 그랬듯이. 리먼 사태가 그랬듯이|소박원숭신 (2022.12.31 10:17:10): 국금리가 2005년 수준이었으니 노스닥도 그때랑 맞춰서 돌아가야된다는 1차원적 생각 그리고 이딴 ㅂㅅ글에 추천 20개나 박히는 어휴 씨발 ㅋㅋㅋ 이새끼 유튜브로 주식 시작한지 1년도 안됐다 ㄹㅇ|ㅇㅇ (2022.12.31 10:43:16): 나스닥 적정 2천",2022-12-31 01:45:13,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2551924&exception_mode=recommend&search_pos=-2555350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
중국 비밀경찰서 식당 주인 근황,"밖에서 기자들 데리고 긴급 기자회견을 때림대충 내용은...""나는 평범한 식당 주인이고 자세한 입장 표명은 31일날 진행할거다""""나는 한국에서만 20년을 넘게 살았으며, 앞으로 내 실명을 거론하는 사람들은 전부 고소를 할것이다""""31일에는 동방명주에 100명만 들어올 수 있으며 입장료는 3만원이다. 들어올 때 서명록에 싸인을 해야한다""근데 한국에서 20년을 넘게 살았다면서 정작 기자회견은 중국어로 진행함...",ㅇㅇ (2022.12.29 16:43:04): 짱깨가 저렇게 당당하게 설치게 놔둔게 지난5년....|ㅇㅇ (2022.12.29 16:43:47): 제주도 이미 중국이 싹슬이 한거보면 각나옴|ㅇㅇ (2022.12.29 23:18:54): ??? : 훠훠 줴 뭑펴눈 짱궤과 뭔저돠 였쑬뿐뉘였쪄 훠훠훠|ㅇㅇ (2022.12.30 02:27:24): 레카가 핑핑이 푸틴이랑 같이서서 짱깨 전승절 구경했던 시점에 끝난거지 두창이도 반미친중이고  - dc App|ㅇㅇ (2022.12.30 01:06:50): 짱깨들은 너무 어설프다. 일개 음식점 관계자의 대응이 저럴수있냐ㅋㅋ 노무노무 티나노|ㅇㅇ (2022.12.30 07:48:27): 저러면 유쾌한줄 아나|오징어뽁음 (2022.12.31 01:45:09): 뭐하는 짱개야 도대체  - dc App,2022-12-29 16:40:59,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2549617&exception_mode=recommend&search_pos=-2545350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
한국증시 시발진짜 존나 떨어지네,한국증시 시발진짜 존나 떨어지네  - dc official App,ㅇㅇ (2022.12.29 14:21:07): 유에스 아미!!!!!!!!!!!!!!!!!!|ㅇㅇ (2022.12.29 14:21:08): 경제는 보수(피식) 20개국중 19등|ㅇㅇ (2022.12.29 14:21:35): 이 와중에 증권맨들 삼성 사라고 했던 실화냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅁㅇㅇㅇ (2022.12.29 15:01:57): 찢갈이들 또 기어왔노 세계경제불황이 찢이 대통령이었으믄 안왔나? ㅋㅌㅋ|ㅇㅇ (2022.12.29 14:21:25): 미장 좆나 올랐는데 동학개미는 왜 다 뒤진거냐???|ㅇㅇ (2022.12.29 15:48:57): 좌좀들 개추조작|ㅁㄴㅇㄹ (2022.12.29 16:08:04): 개졷같이 계산하고 터키가 1위 이지랄 환율환산까지 해오라그래라.. 그래도 뒤에서 순위권이긴 할거같다만  - dc App,2022-12-29 14:20:16,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2549093&exception_mode=recommend&search_pos=-2545350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
와 ㅆㅂ 한국장만 ㅈㄴ빼네,너무한다,ㅅㅅㅅ (2022.12.29 14:18:52): 코스피가 넘 많이 올랐음|ㅇㅇ (2022.12.29 14:19:34): 지랄하네 셰계순위 하락율 2위  - dc App|ㅇㅇ (2022.12.29 14:20:32): https://m.dcinside.com/board/kospi/2549093  - dc App|ㅅㅅㅅ (2022.12.29 14:21:52): 10월~11월 반등이 넘 많이 올랐다고|ㅇㅇ (2022.12.29 15:08:27): 오른건 생각 못하쥬?ㅋㅋ 일본 얼마나 올랐나 보고와라  - dc App|ㅇㅇ (2022.12.29 14:20:00): 조작 - dc App|ㅇㅇ (2022.12.29 14:22:19): 전쟁  - dc App|ㅇㅇ (2022.12.29 15:49:10): 좌좀들 개추조작|갤럭시 S22울트라 (2022.12.29 19:37:22): 테슬라에비해 삼전을봐라 ㅈㄴ선녀다   - dc App,2022-12-29 14:18:02,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2549086&exception_mode=recommend&search_pos=-2545350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
요즘 환율 보면 이상하지 않냐?,"요즘 주식시장에서 외국인들은 팔고 있는데 환율이 떨어짐. 그럼 누군가 계속 달라를 팔아서 원화를 사고 있다는 이야기인데 음모론적으로 접근해 보면 외국계 헷지펀드들이 대기자금이 어마어마 하다고 함. 4000조가 넘는다 하고, 이 중 일부 자금이 한국으로 들어오고 있을수 있음.  또한 외국 유명한 헷지펀드 ceo에 한국계가 은근히 있는 상황.  한국은 지금 화학이나 건설 쪽 보면 순이익 대비 어마어마하게 저평가된 주식이 많음. 특히 이번에 김진태가 채권시장 고의로 박살내서 회사채 시장이 박살이 났고 건설업 쪽은 단기자금 문제에 빠지고 있음. 채권시장 부실로 정부가 돈을 퍼주지 않으면 imf 떄처럼 흑자인데 자금경색으로 부도나는 상황이 벌어질 수 있음. 만약 지금 헷지펀드들 자금이 들어오는 중이고 이들이 준비가 끝나고 나서 정부에서 여러 이유로 채권시장을 부양하지 않는다면 넘어갈 알짜기업들 많을 것임. 이건 음모론이니 심취하지는 말것.",현대모비스 (2022.12.28 19:39:58): 원화만 강해지는게 아니라 달러가 약해지는거야 - dc App|dddd (2022.12.28 19:41:10): 최근 두 차트 보면 원화가 상대적으로 더 강세임. 그리고 그냥 음모론이니까 너무 깊게 파고들지는 마|ㅇㅇ (2022.12.28 19:41:03): 소스가 어디야|dddd (2022.12.28 19:45:29): 헷지펀드 4000조랑 한국계 ceo는 이미 유명한 이야기|dddd (2022.12.28 19:45:32): https://www.chosun.com/economy/mint/2022/12/09/G5IT55SSURD3BJXCPJNQF6UD64/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news|dddd (2022.12.28 19:46:17): http://www.econotelling.com/news/articleView.html?idxno=6549|ㅇㅇ (2022.12.28 19:50:34): 내년부터 떡상이야??ㅠㅠㅠㅠㅠ|dddd (2022.12.28 20:25:12): 내년부터 시작인거지. 부도 위기가 와야 알짜기업들을 강제 합병이나 인수를 할거 아녀|dddd (2022.12.28 20:26:00): 음모론이 현실화 된다면 최소 1~2년 동안 연쇄 부도 날거다.|ㅇㅇ (2022.12.28 19:49:50): 외국계취업하겠네 개꿀 - dc App|dddd (2022.12.28 20:06:42): 비정규직으로|ㅇㅇ (2022.12.28 22:12:09): 펀드가 무슨 자선사업가냐 은행드처럼 정부에 잡혀있는 것도 아닌데 돈을 왜 기부해 사도 저가 매수를 하지|ㅇㅇ (2022.12.29 02:23:46): 주인님 원조주인님 유럽이 쌍으로 미국채던지잖어 ㅋㅋ,2022-12-28 19:39:08,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2547503&exception_mode=recommend&search_pos=-2545350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
주휴수당 폐지되면 자영업자는 사람구하기 더 힘들어질거 같다 ㄷㄷ,어차피 한국 사람들 뭐라하면 바로 추노하니까사장 혼자서 일 다 하자 ㄷㄷㄷㄷ그게 정답이다 ㄷㄷㄷ,ㅇㅇ (2022.12.28 17:45:06): 런|ㅇㅇ (2022.12.28 17:46:39): 제대로 돈주고 제대로 일시키는 문화가 정착 되야 됨 알바도 근무시간에 폰보고 있고 그런거 이제 못하는...|firstfruit (2022.12.28 17:48:30): 이게 맞는듯 ㄷㄷㄷㄷ|ㅇㅇ (2022.12.28 18:16:26): 그런다고 돈안주려하면 이대남들 노동청에 신고하는거 못봄? 편의점갤 가봐라|ㅇㅇ (2022.12.28 18:30:23): 우리도 팁 문화정착?자기돈은 자기가 벌게  - dc App|ㅇㅇ (2022.12.28 18:10:44): 어차피 급한건 2030 알바들인데 일해야지. 4050 자영업자만 좋음|ㅇㅇ (2022.12.28 18:11:17): 그리고 어차피 3D직종은 주휴 있던말던 일 안해 차라리 돈 조금벌더라도 편돌이 하고말지|ㅇㅇ (2022.12.28 18:25:32): 2030알바들 해봐야 10명중에1명은 되것나|ㅇㅇ (2022.12.28 18:26:26): 주휴수당이 제일 크게 느껴질때가 알바할때임|ㅇㅇ (2022.12.28 18:26:46): 그리고 물가 ㅇㅁ뒤져서 알바하는 애들이 10명중 8명이상임|ㅇㅇ (2022.12.28 20:32:02): 열심히 하는 사람만 을바시장에 진입하게해주고굴러먹은 새끼는 영구 퇴출시켜야 맞다,2022-12-28 17:44:38,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2547289&exception_mode=recommend&search_pos=-2545350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
한국시장 저평가가 북한무인기보다 재벌집내용이긴함,순양전자 순양자동차 순양카드 지주회사로 순양물산 만들어놓고 재벌3세4세들이 계속 승계짓 하는거 애플로 치면 애플카드 애플페이 아이폰 아이패드 에어팟이 각각 다 상장되어있고 애플캘리포니아란 지주회사를 세워서 지주회사 지분을 가진  오너일가가 지분 3프로가지고 전 계열사를 지배하는것도 모자라 오너행세하잖아 이건 유사k자본주의지 유럽 일본 미국에도 없는구조임. ​,"ㅇㅇ (2022.12.28 07:12:35): 덕분에 한국장은 큰 싸이클 크게 자주터짐 나름의 한국장의 재미임 우상향은 안하지마 - dc App|신입 (2022.12.28 07:13:31): 상속세가 저따위니까 그렇지 큐ㅠㅠㅠㅠㅠㅠㅠ|ㅇㅇ (2022.12.28 07:59:53): 그럼 이재용 승계를 위협을 하지마 이 씨발년아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅇㅇ (2022.12.28 08:11:45): 대주주 할증과세로 상속세 65퍼 때리는데 두번 물려주면 회사가 없어진다이게 말이 된다고 생각하냐?  - dc App|ㅇㄷ (2022.12.28 08:41:12): 넥슨 회장 뒤지니까 상속세 내느라 가족들 주식지분 다 팔고 떠남 - dc App|botrix (2022.12.28 09:15:44): 상속세 이거 이중과세임. 폐지해야 됨  - dc App|ㅇㅇ (2022.12.28 09:40:35): 박정희가 자본 해외로 빼돌리거나 꿍쳐두지 말라고  기업들에게 자회사 상장 혜택을 줌.  문제는 그걸로 쳔년만년 해먹으려 듬.|ㅇㅇ (2022.12.28 09:57:34): 상속 두번하면 회사가 없어지니까 ㅋㅋ|ㅇㅇ (2022.12.28 10:33:55): 이중과세로도 모자라서 몇번의 세금을 다 떼가는데 뭔 헬조선에서 ㅋ 그러면서 더듬당 병신새끼들은 기업이 세금으로 망할때까지 뜯어야한다고 개지랄들 떠는데 헬조선 자체가 비정상인데 남탓을 하고자빠졌누|ㅇㅇ (2022.12.28 11:02:39): 상속세 반깎아줘서 30%면 그럼 대기업들이 탈세를 안한대냐? 아님 중국처럼 0%로 만들어주리? ㅋㅋ|ㅇㅇ (2022.12.28 11:05:18): 애초에 상장사를 승계하려는 기업가들의 대가리가 터진건데 무슨 상속세탓을 하고자빠졌냐 꼬우면 니들이 부자가 내는 세금 대신 내주던가 아 니들은 '전업투자자'시라 세금을 안 내던가? 혼자 부가가치세 20% 내고 다니든가 ㅋㅋ|ㅇㄷ (2022.12.28 11:33:02): 민주당지지자 빨갱이 또 기어들어왔네 - dc App|ㅇㅇ (2022.12.28 11:58:53): 재벌 까는게 빨갱이냐 지금 한국 재벌구조가 세계어디에도 없는 이상한 구조인데 이딴 우덜식 재벌경영 까면 빨갱이?? 만능이네 재벌이 영어로 어떻게 번역하는 줄 아냐 재벌이야 영단어에는 없는 거라 빙신아|ㅇㅇ (2022.12.28 12:00:04): 코갤에서 쥐좆으로 투자하는 거지 새끼가 할말 없으니 하는 말이 빨갱이 타령이던데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅇㅇ (2022.12.28 15:30:04): 30만 되도 이지릴안해|ㅇㅇ (2022.12.28 16:37:25): ㄴ 진짜 그런지 니가 증명가능함? 그 증명비는 서민들 세금부담 증가인데? 0% 상속세 중국에선 주주자본주의 천하가 열렸다드냐? ㅋㅋㅋ 꿈깨라|ㅇㅇ (2022.12.28 12:55:33): 해외에서 재벌들이 승계하는 거 ㅈㄴ 많은데 헛소리하네|네잎회 (2022.12.28 15:43:53): 으따 상속세도 안내고, 주주들 돈도 훔치면, 2배로 이득인데, 상속세 없어지면 주주들 돈은 안 훔칠 것이라는 근거가 도대체 머임? 나는 대주주할증은 비합리적인 부분이 있어서 폐지해도 상속세 50%는 높지도 낮지도 않은 뉴트럴이라고 생각함 ㅇㅇ|ㅇㅇ (2022.12.28 20:49:40): 대깨냐?|ㅇㅇ (2022.12.29 18:48:52): 꼬우면 코스피 안하고 에센피하면된다",2022-12-28 05:54:29,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2545745&exception_mode=recommend&search_pos=-2545350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
한국이 드뎌 일본 꺽었다!!,반중정서- dc official App,신입 (2022.12.28 04:50:21): 관광와서 깽판침 큐ㅠㅠㅠㅠㅠㅠㅠ|자게인 (2022.12.28 12:15:09): 알프스 올라가는 기차에서 오줌쌈 깽판치고 시끄럽고 결국 중국인 전용 객차 운행  - dc App,2022-12-27 21:16:54,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2545257&exception_mode=recommend&search_pos=-2545350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
2022년 코스피 갤러리를 빛낸 주식 시상식,"1 이미지 순서 ON 정말 다사다난했던 2022년 국내증시. 연말, 한 해를 되돌아보자는 마음으로 코스피 갤러리를 빛낸 주식과 회사들에게 자그마한 이벤트로 시상식을 해보게 됐습니다. 가볍게 봐주시면 감사드립니다. - 수상 기준은 작성자 주관입니다. 1. 스토리상 - 오스템임플란트2 이미지 순서 ON3 이미지 순서 ON 사기 치지 않으면 손해본다는 한국 금융의 문제점을 지적하고자 본인이 직접 횡령해버린 이은식. 내년은 호황장일 거라며 따뜻한 기대감으로 2022년의 시작을 기다리고 있던 와중. 건실한 주식에서 횡령사건이 발생했다는 소식을 접한 그 심정은 그저 '레전드'였다. 덕분에 따뜻한 기대감은 불타는 활화산이 되었다.   오스템임플란트는 오스템임플란트 뿐만 아니라 동진쎄미켐, 엔씨소프트 등 다른 주식들까지 연루시켜 다양한 스토리를 만들어내 스토리상을 주게 되었다. 4 이미지 순서 ON5 이미지 순서 ON 2. 남우주연상 -  위메이드6 이미지 순서 ON 말도 많고 탈도 많았던 위메이드. 선진 기술 집약체인 코인・블록체인 기술은 투자자들을 열광하게 했으며 최근 있던 논란에, 슬픈 와중에도 멋있게 웃는 모습을 보여줘 남우주연상을 수상하게 되었다.7 이미지 순서 ON8 이미지 순서 ON9 이미지 순서 ON 3. 공구우먼 - 여우주연상10 이미지 순서 ON  역시 여자의 마음을 사로잡은 회사는 흥할 수 밖에 없을까 ? 무증 발표 이후 위에서 설거지 한 사람을 제외한 대부분에게 수익을 준 공구우먼. 빅사이즈 여성의 당당함으로 분위기가 좋은 공구우먼에게 여우주연상을 주기로 했다. 11 이미지 순서 ON 4. 시각효과상 - HDC현대산업12 이미지 순서 ON 선진국가 대한민국에서 벌어진 건설 붕괴 사고의 장본인. 대한민국에 존재하는 부실 공사의 문제점을 폭로하고자 몸소 건물을 붕괴시켰다.  붕괴 이후의 모습을 보여주는 작품은 한 폭의 예술작품 같아. 시각효과상을 주기 마땅했다. 13 이미지 순서 ON  5. (특별상) 외국인상 - 푸틴, 파월, 바이든 이번 상은 특별히 공동 수상하기로 결정했다. 자국 러시아의 안보를 위해 수단과 방법을 가리지 않는 푸틴. 그의 희생으로 전 세계가 안보의 중요성을 상기하게 됐다. 코로나로 침체된 경기를 살리고. 거품이 잔뜩 낀 인플레를 막는다는 일념으로 전세계 투자자를 지키기 위해 몸소 뛰어준 파월.  전세계 평화, 미국 민주당 부흥, 친환경 기술을 필두로 불철주야 고생하는 바이든. 이 세ㅡ사람의 열정에 특별상인 외국인상을 수여하기로 했다.14 이미지 순서 ON15 이미지 순서 ON ★ 코스피 갤러리 최우수상 - 카카오 ★16 이미지 순서 ON17 이미지 순서 ON올해 유행어, 주가, 영향력, 어디 하나 빠지지 않고 훌륭한 성과를 보여준 카카오그룹. 주식 시장은 호락호락하지 않다는 걸 많은 개인투자자들에게 체험시켜준 종목으로, 대표의 경여 철학은 많은 코스피 종목들의 귀감이 되었으며 내년도 기대가 되는 종목이다.18 이미지 순서 ON19 이미지 순서 ON20 이미지 순서 ON 올해도 훌륭한 성과를 보여준 국내증시. 내년도 즐거운 증시가 되길 바라며 시상식을 마무리하겠습니다.","ㅇㅇ (2022.12.27 22:21:34): 외국어영화상 베트남개발1|ㅇㅇ (2022.12.27 22:21:49): 엔씨소프트랑 삼전, 하닉, 엔솔 왜 뺐냐?|무리뉴 (2022.12.27 22:23:29): 작성자 주관입미다,,,  - dc App|동포청년 (2022.12.27 22:23:47): 에디슨ev, 이노시스 어따 팔아먹었냐  - dc App|CuteSena (2022.12.27 22:43:38): 개추개추!!|ㅇㅇ (2022.12.27 22:44:47): 실베추|유이'ㅅ' (2022.12.27 23:32:00): 무증빔은 노터스지 공구우먼이 아니라하이드로리튬(코리아에스이) 현대사료(카나리아바이오)도 없네  - dc App|무리뉴 (2022.12.28 00:07:43): 노딱스는 여자 주식이 아니자넝 ㅠㅜ|ㅇㅇ (2022.12.27 23:41:54): 태웅로직스가 올해인고? 손익좌 종목|애플힙될거야 (2022.12.28 12:04:13): 돈벌고싶음 이런데서 배워라https://m.blog.naver.com/kko620412/222953120212|ㅇㅇ (2022.12.28 13:01:54): 네카오가 제일 재미졌음 누가 누칼네 누칼카 찰졌지",2022-12-27 22:17:53,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2545373&exception_mode=recommend&search_pos=-2545350&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
