Column1,Column2,Column3,Column4,Column5
제목,내용,댓글,작성일자,URL
한국멸망 ETF 수익률 20% 돌파,,"VWVWV (11.30 17:31:19): 한국 멸망 시마이 ETF 출시 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ|재명세1 (11.30 17:36:44): 개고수 ㅋㅋㅋㅋ|ㅇㄷ (11.30 17:40:20): 강원랜드랑 담배회사가 다 해먹었겠노 - dc App|Sanctus (11.30 17:45:11): +동서|ㅇㅇ (11.30 17:47:35): 씨발ㅋㅋ  - dc App|ㅇㅇ (11.30 18:13:36): 근데 노가다도 일자리 박살났다고 들었는데 괜찮누?|재명세3 (11.30 21:00:54): 사람 부족해서 외노자로 때우는중. 어떤 공정은 팀장부터 조공까지 죄다 외노자임  - dc App|리얼호미 (11.30 18:46:19): ㅋㅋㅋㅋㅋ 한국 멸망 etf  - dc App|heresy (11.30 18:57:02): ㅋㅋㅋㅋㅋㅋ|환: (11.30 19:32:42): 오우야|재명세2 (11.30 19:46:15): 와 개고수네|ㅇㅇ (11.30 20:46:32): 개고수ㅋㅋㅋㅋㅋ|ㅇㅇ (11.30 21:14:12): 나 동서 평단 17000원인데 컄ㅋㅋㅋ  - dc App|ㅇㅇ (11.30 21:19:10): 12억도아니고 꼴랑 1200만원쳐넣고 쇼하고있네  - dc App|유동1 (11.30 21:32:58): 천조국은 ai, 반도체, 클라우드, 빅데이터 이러고 있는데 국장은 노가다, 술, 담배 이지랄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅇㅇ (11.30 22:39:44): ㅋㅋㅋㅋㅋㅋㅋㅋ|재명세4 (11.30 22:05:59): ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  - dc App|ㅇㅇ (11.30 22:11:42): 담배 도박 빨간딱지 ㅋㅋㅋ  - dc App|ㅜㅜ (11.30 23:28:07): 고수네 고수야|재명세5 (12.01 02:05:30): 담배 술 빚쟁이 도박 노가다.... 대체 이게 무슨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅇㅇ (12.01 10:22:07): 코스피 코스닥 수익률과 비교하면 거의 한국의 피터렌치 워렌버핏급|중갤러1 (12.01 10:24:54): 1. 내수시장. 멸망으로 삼양 외 소비재기업들 멸망 술도 오히려 호황때 더 팔리지 혼술족들어서 소비감소2. 해마다 흡연인구는 줄고있음 3. 현재 강원랜드 갈돈도없음.. 돈이 있어야걸지4. 이건잘모르겠음5. 현재 남미 폭우로 커피량감소 유가상승 트럼프때문에 미국에서 커피영끌로 원두 폭등중|ㅁㅇㅇㅁㅇ (12.01 12:55:46): 미친새끼 ㅋㅋㅋㅋ  - dc App",2024-11-30 17:21:54,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4284206&exception_mode=recommend&search_pos=-4285000&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
"민주당 ""부자들 떠나도 나라에 문제없어""",1 이미지 순서 ON 마우스 커서를 올리면이미지 순서를 ON/OFF 할 수 있습니다.2 이미지 순서 ON3 이미지 순서 ON요즘 한국경제 잘 나가나요?ㅋㅋㅋㅋ,재명세1 (11.29 11:53:26): ㅋㅋㅋㅋㅋ|재명세2 (11.29 11:55:24): 찢주당 지지자 수준이랑  흑줌마랑 동급이네|VWVWV (11.29 15:15:49): 베네수엘라 개씨발|재명세3 (11.29 16:10:53): 능지ㄹㅇ답없음|재명세4 (11.29 19:56:55): 전국에 공무원들 발끈하겠노 ㅋㅋㅋ|ㅇㅇ (11.30 15:40:37): ㄹㅇ 잘 나감(물리)|재명세5 (11.30 16:00:41): 열등한 기생충 새끼들만 남겠네,2024-11-29 11:51:30,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4281986&exception_mode=recommend&search_pos=-4285000&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
결국 이분 말대로 되었음,바른말 할 땐 귓등으로도 안처먹고 한국은 이미 늦음 한국은 늘 이런 식임 ㅇㅇ,ㅇㅇ (11.30 13:28:05): 알고조진건데 새삼스럽게뭘|ㅇㅇ (11.30 14:15:28): 노무현 좋아하는애들도 문재앙은 싫어하더라|ㅇㅇ (11.30 14:15:58): 근데 개돼지들의 문제는 꼭 당선 시키고 후회하는거임. 미리 알아차릴 수 있는 안목이 없음|ㅇㅇ (11.30 15:32:09): 당선시키고 후회하는거면 ㄱㅆㅅㅌㅊ고 후회도안한다니가 디씨만해서 모르는거지 문재앙 지금도 성군취급하는사람 존나많다|ㅇㅇ (11.30 15:33:05): 아니 진짜 뽑고나서라도 잘못된걸 깨달았다면 이나라는 희망이 있다 근데 그조차도 아닌거같음|재명세1 (11.30 15:53:00): 김정일 좋아하면서 김정은 싫어하는게 말이 되노? 씹년아 그 놈이 그놈이야. 놈현좋다는 새끼가 문재앙 싫어하는척하는건 그냥 컨셉임|재명세3 (11.30 17:42:10): 노무현은 즈그들이 싫어하는 정책도 시행했음ㅋㅋ - dc App|ㅇㅇ (11.30 15:53:56): 꼬우면 아시죠|재명세2 (11.30 17:19:41): 민주당 지지자 빼고 민주당 국개까지 다 아는 사실 이니엿던가 ㅋㅋㅋㅋ  - dc App|환: (11.30 19:34:13): 펑펑 놀다 꼬라박고 어떻게든 개같이 살아나는게 조선이다|ㅅㄷㄱ (12.01 10:25:41): 그리고 윤통탓 하는게 레전드 ㅋㅋㅋ|ㅇㅇ (12.01 11:38:09): 광화문에 묶어 놓고 돌로 쳐 죽여도 시원찮은 씨버러지 문재앙 - dc App|ㅇㅇ (12.01 12:42:34): 오채분시 해야할 매국노임,2024-11-30 13:26:03,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4283955&exception_mode=recommend&search_pos=-4285000&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
부동산 잡으라고 잡으라고 하는데 진짜로 잡지? 바로 정권 교체임,한국인 말은 믿지도 말고 듣지도 마라외국 나가서 제일 조심해야할 집단이 한국인 집단임,"07 (11.30 09:21:15): 눈앞에 닥친 연금, 의료보험도 손 못 대는데 부동산은 뭐 ㅋㅋ|ㅇㅇ (11.30 09:21:19): 맞아. 부동산가격 떨어지면 바로 정권교체임. 빚내서 집사는 사람이 대부분인데. ㅄ같은 민족.|노코리아 (11.30 09:43:33): 오 일단 탈샌징 개추|ㅇㅇ (11.30 10:07:16): 조센징은멸망이담이닼캬캬|ㅇㅇ (11.30 10:49:05): 부동산 잡지 않더라도 둔촌은 살리면 안됐음|재명세1 (11.30 10:53:21): 박근혜가 왜 탄핵당한줄 앎? 뭔 거지 개발싸게 좌빨창년들 선동에 세월호때문이라고 언론 선동된 병신같은 국민년들이 대다수임. 박근혜가 유일하게 이 씹창국가 정상화하려고 시도라도 해본 대통령이었다. 연금개혁? 중개료 수수료 개선? 이거 정치인이랍시고 온갖 개새끼들 선거때는 보유세 증세하니 어쩌니 개염병떨지만 보유세 증세한 새끼 1명도 없다. 박근혜는 달랐어. 좌절된것도 많았지만 연금개혁이든 중개료 개선 일부 개선했다. 그게 뭔소리인지 아냐? 진짜 한국을 망하는 지금 출산율을 반토막내놓고도 좆동산 띄울려고 나라 전부를 거기 꼬라박는 틀니들과 586씨팔창년새끼들의 이익을 제한하고 압박한 유일한 지도자였다. 국가 지도자는 국민의 수준에 따라서 달라지지. 한국은 수준이 낮은 개병신년들의 나라임|재명세1 (11.30 10:59:33): 현 정부는 왜 지지율이 저따구냐고? 씨발 기득권층을 압박하는데, 국회 언론 선동된 개병신같은 국민들까지 가만히 있겠냐? 문재인 이 개좆같은 식물새끼가 5년동안 뭐했는지 아는 새끼있어? 동네 똥개를 대통령 자리에 앉혀놔도 할 수 있는 병신짓밖에 안하고 간 씹창새끼다. 그런새끼가 퇴임때 지지율이 개좆같이 높았지. 왜? 이 개좆같은 나라를 좀먹는 좆동산 쓰레기들새끼들 구미에 딱 맞게 존나 튀겨줬거든. 현 정권? 그래 개좆창년같고 병신새끼 맞어. 근데 문재인과는 비교도 안되는 지도자다. 적어도 문씨발년처럼 한탕 해처먹고 빠지자가 아니라 합리적으로 국정은 운영하고 저 봐라 의료개혁으로 알아서 욕처먹잖아. 이 개좆같은 나라는 뒤져도 정신을 못 차릴거다. 수준이 너무 낮음|재명세1 (11.30 11:08:17): 이렇게 말해도 못 알아듣는 애들 많고 나라팔아먹자는 좌빨+짱개+북한의 언론에 선동되어서 개소리하는 병신들 한가득이겠지. 박근혜의 연금개혁은 입아프고 중개료요율을 건드린게 무슨 의미인지 모르는 애들은 좀 있을거다. 지금 부동산 중개사 제도가 과거에는 어떤식으로 돌아가고 있는지 아냐? 뭔 씨발 아프리카 미개국도 아니고 자격제도도 없고 알음알음 민간이 하던거에 자격제도가 들어오니 지랄병떨어서 병신년들도 중개사랍시고 사기치게된거다. 애초에 선진국들은 어떤식인줄 앎? 일본처럼 극단적으로 민간이 낄 수조차 없이 기업들의 놀이터도 있지만 미국도 한국의 중개사에 해당되는건 그냥 판매원 영업원이다. 감독기구와 기관들과 상위 전문가들은 당연히 있는구조다.|재명세1 (11.30 11:13:00): 근데 한국의 부동산 중개제도는 개좆같은 병신년들이 시위한다고 자격부여해주고, 지들이 짱먹는 형태라는거다. 한국의 좆동산은 자정능력을 100만년전에 잃었어. 올라야만 모두가 웃는구조거든. 그 반대는 내리면 개씹창난다는거다. 리먼과 똑같은 거지. 그 부조리함에 손댄 지도자는 독재정권 이후로는 한 새끼도 없었다. 전부 성장기라서 가능한 씨발 개좆같이 욕안먹고 생색만 내는 개씹질만 하다가 임기마쳤지. 근데 문재인 이 씨발년은 대놓고 나라를 털어먹었어. 현 정권의 문제라고? 문재인 이 씨발창년이 5년동안 얼마나 해처먹고 나라를 파탄시켜놓고 갔는지 알면 절대 그 소리 못한다. 코로나때 한국의 주가 지수나 상승률 들먹이는 개창년들 있는데, 한국은 전형적인 개잡주라서 그렇다. 반짝하고 영원히 병신 시장이지.|재명세1 (11.30 11:17:18): 왜 현 정권이 둔촌을 살렸냐고? 국민이 개씨발좆같은 새끼고 수준낮은 씨발병신년들이기 때문이다. 너라면 나라 씹창내놓고 해처먹고 간새끼는 좌빨 창년인데, 니가 다 똥 뒤집어쓸래? 애초에 그럴거라고 함정파놓으려고 곳간 다 털어먹고 간 씨발새끼들인데? 수준낮은 국민 개돼지새끼들은 진심으로 문재인이 아니라 현정권의 실정이라고 생각할텐데? 뭐하러 사서 욕처먹냐? 대충 지내고 쇼하다가 끝내지. 나같아도 둔촌 살리지. 그냥 놔두고 둔촌을 기점으로 좆동산 붕괴됐으면 문재인이 아니라 현 정권이 암살당했을거다. 그냥 한국은 개씨발좆같은 끝장난 국가다.|팔라딘™ (11.30 12:44:01): 맞다 - dc App|ㅇㅇ (11.30 13:43:14): 대체로 맞는말이다만 의료개악은 병신짓이야 윤프 정책이라고 무작정 실드치지말고 진지하게 이해하려는 노력을 좀 해봐 병신짓인거 이해하는게 그렇게 어렵지 않음|ㅇㅇ (11.30 13:44:46): 아 대체로 맞는말은 아니네.. 니가 생각하는 이권세력 눈치만 보고 필요한 개혁 아무것도 안하는 비겁한 대통령이 윤프임. 문가는 한술 더떠서 적극적으로 망친놈이고|재명세2 (11.30 11:17:44): 폭등이든 폭락이든 다 정권 뺏김 - dc App|ㅇㅇ (11.30 13:34:27): 국민뜻대로면 기준금리 50%고정하면됨 ㅋㅋ|오징어뽂음 (11.30 13:36:35): 진짜 문재앙 민주당이 나라 망하게한 지옥갈 놈들임  - dc App|코돌이 (11.30 14:05:12): ㄹㅇ|ㅇㅇ (11.30 14:08:53): 이 나라 새끼들은 그냥 뭘 바꾸곤 싶어하면서 지껀 1도 잃기싫어하는새끼들만 있음 ㅋㅋㅋㅋㅋㅋ  - dc App|영원히사는 서울갑부 (11.30 17:45:00): 이말 맞다.덧붙여 첨언하면 멍석말이 좋아하는 족속이라소수 타겟 잡고 패기했으면 지지율 떡상인데윤석.열은 그래도 마음이 악독하지는 않아서 안팬것도 있음.",2024-11-30 09:01:15,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4283727&exception_mode=recommend&search_pos=-4285000&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
우크라 총리 “한국에서 1억 달러 받았다”,https://n.news.naver.com/mnews/article/081/0003499442,"ㅇㅇ (11.29 23:29:09): 아 내가 받았다|ㅇㅇ (11.29 23:31:30): 줒렌스키 주머니속으로  - dc App|재명세1 (11.29 23:31:39): 우리나라 경제규모에 비하면 1억 달러는 푼돈인데 어그로끄네 ㅋㅋㅋ|CoConuT (11.30 12:20:03): 세수 부족하다고 지랄난 판국에 1.4천억 정도면 많은거지|ㅇㅇ (11.30 15:52:42): 1억달러라면 서울 국공유지에 20대 대학생, 사회초년생 애들 월세 10만원짜리 행복주택 1000개 건설 가능|ㅇㅇ (11.30 15:53:41): 최전방 군부대 1인1실 생활관으로 리모델링 가능",2024-11-29 23:27:22,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4283412&exception_mode=recommend&search_pos=-4285000&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
내가 제일 존경하는 래퍼 도끼랑 고닉 팔라딘 공통점 찾았다,둘 다 컨테이너 출신임다만 도끼는 자수성가한 한국 최고 래퍼가 되었고 팔라딘은 아직 주식으로 자수성가에 도전 중이라는 차이가 있음,재명세1 (11.29 23:21:01): 둘다 민주당 지지자임|글쓴 재명세 (11.29 23:24:16): 도끼는 정치성향 드러낸 적 없다 가사에는 자기 인생과 포부만을 담았을 뿐임|보슬노도 (11.29 23:45:03): ㅋㅋㅋ,2024-11-29 23:19:12,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4283399&exception_mode=recommend&search_pos=-4285000&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
중국이 제조업 한국추월하는 동안 소득주도성장 한다고,제조업 경쟁력문재앙이 다 박살냄ㅋㅋㅋㅋ,"팔라딘™ (11.29 23:13:03): 플러스로 기술도 엄청 넘어감 ㅋㅋㅋ - dc App|ㅎㅎㅎ (11.29 23:17:44): 문재앙이 한 짓거리를 조그만 깊게 파해쳐보면 ㄹㅇ 짱깨간첩 확실하다는 생각이 들지 ㅋㅋ|재명세1 (11.29 23:23:43): 그 소주성이 짱깨 시진핑 공동부유 열화카피 버전임. 짱깨도 최저 급등으로 코로나 전부터 공장들 동남아로 탈주하고 있었음|ㅇㅇ (11.30 00:05:27): 기술 유출 인재 유출 - dc App|ㅁㅁ (11.30 05:54:47): 진짜 잡아서 처벌해야함|ㅇㅇ (11.30 08:06:06): 짱개몽 함께한당께에|ㅇㅇ (11.30 09:32:09): 한국은 인건비 더 낮춰야함|ㅇㅇ (11.30 10:29:18): 또 너야?|재명세2 (11.30 14:00:00): 헌법 에 최저임금제를 보장한다고 되어있는데, 그냥 최저임금제 시행하는줄 아노?  - dc App|ㅅㄷㄱ (12.01 09:57:39): 그 최저임금을 지나치게 급등 시켰다고 븅신년아|CoConuT (11.30 14:32:43): 문제인은 중국 작품인가",2024-11-29 23:11:03,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4283396&exception_mode=recommend&search_pos=-4285000&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
경제위기를 향해가는 한국,역사상 위기 상황에서 진입한 환율 1400내수와 부동산으로 재계 6위에 오른 롯데 그룹이창업주의 꿈이였던 롯데타워를 담보로 내놨음수십년간 우상향했던 삼성전자의 추세 이탈1등기업이 2등기업이 되는 순간을 우리는 보고 있음지금도 외국인이 말도 안 되게 한국만 매도한다한국만 금투세니 대주주의 횡포로 전세계에서 꼴지다이렇게만 억울하게 생각을 하겠지만절대 저게 원인이 아니라고 봄롯데 기업이 한국 경제를 상징한다고 봄부동산 몰빵해서 내수로 뜯어먹고 성장했다가 중국에 추월당해서 몰락해가는 삼전도 똑같은 상황에 직면하는 거고한국 경제도 임계점을 이미 넘었다고 봄외국인의 이탈은 이걸 이미 감지하고 배를 버려라 하는 중이고이번에는 우리나라 차례가 다시 오고 있는 거라고 생각을 함일본 겪었고 한국 겪었고 미국 겪었고 중국 겪었고다시 한국 겪는거지돌고 도는 게 역사니깐내년 상반기에 왜 그렇게 외국인이 팔았는지그때 알 게 된다고 봄,ㅇㅇ (11.30 01:25:25): 이번에 자빠지면 다신 못일어나겠지|ㅇㅇ (11.30 12:21:43): ㄹㅇ 정권교체되면 민주당인데 그땐 ㄹㅇ ㅈ되는거임,2024-11-29 22:15:17,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4283321&exception_mode=recommend&search_pos=-4285000&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
박종훈 진단.. 중국 때문에 대한민국 좆망 직전(1보)ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1 이미지 순서 ON2 이미지 순서 ON3 이미지 순서 ON4 이미지 순서 ON5 이미지 순서 ON6 이미지 순서 ON7 이미지 순서 ON 깜짝 금리인하에 주가가 급락한 진짜 이유는? (박종훈의 지식한방)   한국은행 금통위가 깜짝 금리 인하를 단행한 직후 한국의 증시가 급락했습니다. 도대체 왜 이렇게 된 걸까요? 한국의 미래가 위협받는 이유를 알아봤습니다.&#x2709;+ 강연 및 협업 문의econopunch@gmail.comyoutu.be외국인이 한국 주식 다 팔고 떠나는 중..롯데가 위기인 것도 중국 때문..부동산 살리기 그만하고미래 먹거리에 투자 안 하면 좆된다고 함..8 이미지 순서 ON,"재명세1 (11.29 20:09:26): 접 씨새낀, 그럼 190석 민좆당이 법못만들게 하면서 어셔옵쇼 시진핑 주석님 하는데 당할재간이 있냐?|ㅇㅇ (11.29 20:09:54): 금투세 시행시 먹거리 다망함|ㅇㅇ (11.29 20:11:52): 믿거 - dc App|ㅇㅇ (11.29 20:14:09): 그럼 시발련아 반도체에 몇십조 처박자고 법안올리면 민주당에서 처반대할거면서 염병을하세요|재명세2 (11.29 20:16:23): 그거 알면서 민주당 190석 준 국민이다. 누구탓을 하노?|아르게쏘 (11.29 20:17:37): 선동하네 쓰레기들조선최고한녀가 호로록 말아먹는중인거 안보이노  - dc App|재명세3 (11.29 20:20:19): 박종훈 좋지 - dc App|ㅎㅎㅎ (11.29 23:11:22): 짱깨공산당 2중대 조딸당이 190석인데 답있노 ㅋㅋ 걍 처맞아야지 ㅋㅋ|재명세4 (11.30 00:16:06): 미래 먹거리 투자? 지랄하네. 이미 늦었음.|ㅇㄷ (11.30 00:22:08): 민주당 이새끼들은 지역화폐 찍어내서 코나아이 배불릴 생각밖에 없음 - dc App|재명세5 (11.30 00:35:52): 반도체 2차전지 잘나갈때는 미래먹거리 있다 하고 망하니까 또 미래먹거리 찾아야 한다 ㅇㅈㄹ ㅋㅋ|ㅇ ㅇ (11.30 00:46:04): 이사람도 좆나 설래발호들갑임|ㅁㅇㅇㅁㅇ (11.30 07:58:21): 저 병신은 부고만 갖고와라 병신아  - dc App|재명세6 (11.30 10:27:10): 문가 때 경고 안한 새끼들은 그냥 보수정권 들어서면 나라망한다고 선동하는 넘들일 뿐.|ㅇㅇ (11.30 10:32:16): 나대지말고 중국몽이나 해|ㅇㅇ (11.30 10:32:59): 조선족 왜케 많노  - dc App|리얼호미 (11.30 18:54:57): 맨날 망한다는 소리만 하는 선동꾼새끼  - dc App",2024-11-29 20:08:14,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4283128&exception_mode=recommend&search_pos=-4285000&s_type=search_subject_memo&s_keyword=%ED%95%9C%EA%B5%AD&page=1
