제목,내용,댓글,작성일자,URL
12월 마감계좌 . jpg,월초 목표치에 비하면 한참 부족하지만코스닥 12월 월봉 보고나니 이정도면 선방했다 싶네여어려운 장에서도 한해 수고 많았습니다.올해 손실보신 분들은 내년에 다 복구 하시고수익 보신 분들은 내년에 더 큰 수익이 있길 기원합니다.한해 고생했습니다.,무리뉴 (2022.12.29 15:34:10): 힛짜점 wjs22ss@naver.com|ㅇㅇ (2022.12.29 15:34:15): 한해 고생많으셧습니다.|ㅇㅇ (2022.12.29 15:34:24): 분명히 몇일전에 2억버는걸 봤는데|범게이 (2022.12.29 15:34:36): 치킨점|CuteSena (2022.12.29 15:34:53): ㄷㄷ|ㅇㅇ (2022.12.29 15:45:41): 다 익절안함??  - dc App|범인매매 (2022.12.29 18:29:35): ㅇㅇ  - dc App|범인매매 (2022.12.29 18:29:25): 팽형 ..  - dc App|인덕원꼬마 (2022.12.29 18:27:28): 범인매매 대단!|범인매매 (2022.12.29 18:29:31): 고맙습니다  - dc App|ㅇㅇ (2022.12.30 03:50:48): 상반기엔 죽쒔누? ㅋ,2022-12-29 15:33:22,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2549387&exception_mode=recommend&search_pos=-2554423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
삼전 ㄹㅇ 심각한 이유,"1) 순이익률 떡락지금 이 이익률은 2019년과 동일당시 주가가 5만원대 였으니 현 주가가 저평가라는 논리는 글쎄,2) 이번 분기 PER이 69코스닥 바이오주를 방불케 하는 PER...","ㅇㅇ (2022.12.23 20:08:03): 여기서 사든데|ㅇㅇ (2022.12.25 09:08:52): 망|검은아이 (2022.12.25 09:19:49): 매수한다면 몇십프로 떨어지면 얼마 산다 이런 식으로 계획 세워야 할 듯|한강뷰웍스 (2022.12.26 01:59:52): -25퍼 35퍼 45퍼 1,2,4비율로 진짜욕심놓고 공포에안질리고 매수만 잘할수잇으면 웬만하면 패닉은안옴  - dc App|ㅇㅇ (2022.12.25 09:30:22): 삼전은 5만원때보다 지금 휴대폰 전망도 그렇고 침체도 그렇고 오히려 사업환경은 나빠졌지.  5만원때 안사고 6만원에 사겠다는 놈들도 병신임 그냥|ㅇㅇ (2022.12.25 09:44:52): 5만원 가게생겼노 ㅠ  - dc App|ㅇㅇ (2022.12.25 11:10:10): 이 형 개고수네 ㄷㄷ 아마 주식으로 돈 많이 벌었을 듯|ㅁㄴㅇㄹ (2022.12.25 11:16:14): 삼전은 22년말,23년초 업황 졷된거정돈 문제 없다.. 그후엔 반등할거란 기대감 같은게 잇으니까.. 그냥 졷된게 아니라 개졷됫으면 문제 있는데 그럼 다른주식은 삼전보다 더 뒤짐 ㅋㅋ|ㅇㅇ (2022.12.25 12:37:56): 그럼 5만원대사면되네  - dc App|개초딩_ (2022.12.25 16:41:23): 근데 2019년도랑 지금이랑 자산수준이 다르잖슴..|ㅇㅅ (2022.12.25 19:28:27): 삼성이 폰만 잘안팔린다 뿐이지. 샤오미 애플 에 삼성부품 안들어가는 곳이 있냐?하다못해 짱깨폰에도 다 들어가는데.   - dc App",2022-12-23 20:06:56,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2539747&exception_mode=recommend&search_pos=-2544423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
내일 진지하게 코스피 -5% 코스닥 -6% 일거같으면 개추,ㅋㅋㅋㅋㅋ나스닥이 -3%인데 버티면 다음주 -10% 예정 ㅋㅋ- dc official App,,2022-12-23 01:43:25,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2538039&exception_mode=recommend&search_pos=-2534423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
확실히 주식을 하고 나서 내 인생이 달라졌다.,"원래 중딩때 사람들 눈도 못마주치고통화하면 말도 엄청 더듬었는데코스피 코스닥 수많은 기업들 주주가 되고나니까 품위유지 할려고 스스로 노력할려고한다.저번 주도 내 주식 떡락했길래 키보드 부셨다중딩때는 통화하면 말 엄청 더듬었는데 이제는 주담한테 이 회사 주인누구냐고 갈구고,주주총회가서 깽판치는 게 가능해졋다.아무리 증시가 떨어져도샤워하면서 혼자 나는 누구?""이나라 기업들의 진짜 주인""하면서 웃으니까 비참해지네이래서 자리가 사람을 만든다는말이 나온거같다.",ㅇㅇ (2022.11.20 11:27:51): 병원가바라   - dc App|ㅇㅇ (2022.11.20 11:28:44): 파딱아.. 정신차려|ㅇㅇ (2022.11.20 11:33:12): 그래서 지분율 5%는 됨? 진짜 주인 운운하겤ㅋㅋㅋㅋㅋㅋㅋ|ㅇㅇㅇ (2022.11.20 11:33:45): 이거 원래 디시에 있던 드립 패러디잖아 찐따년아...|ㅇㅇ (2022.11.20 11:33:21): 넌 코갤의 파딱임|ㅇㅇㅇ (2022.11.20 11:33:32): 푸하하|ㅇㅇ (2022.11.20 11:52:47): ㅋㅋㅋㅋㅋㅋ  - dc App|갤럭시 S22울트라 (2022.11.20 12:50:46): 나는 삼성전자의 주인이다 ㅋㅋㅋ  - dc App,2022-11-20 11:26:47,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2487732&exception_mode=recommend&search_pos=-2484423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
내일 좆됐네 레고랜드발 대폭락,코스피 마오 코스닥 마십 찍겠넉  - dc official App,ㅇㅇ (2022.10.24 00:04:00): 오히려 1퍼 오를듯|ㅇㅇ (2022.10.24 01:55:17): 킹반영 모름?|ㅇㅇ (2022.10.24 09:17:47): 좆되긴 씨발아 대호황이구만,2022-10-23 23:29:50,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2434896&exception_mode=recommend&search_pos=-2434423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
오늘 닥곱버스 출시됨ㅋㅋㅋㅋㅋ,https://finance.naver.com/item/main.naver?code=530107#코스닥을 곱빼기로 ㅋㅋㅋㅋ,ㅇㅇ (2022.10.18 18:28:29): 오 몰랐는데 ㄹㅇ인가 ㅋㅋㅋㅋㅋ|ㅇㅇ (2022.10.18 18:37:01): 상승시그널인가|ㅇㅇ (2022.10.18 18:50:32): 구성종목 뭔지 보려는데 삼성증권에서 뭔지 알려주지고 않네 ㅋㅋ  - dc App|금리 (2022.10.18 19:04:24): 한국거래소 추종이라 거래소에 다 나옴|ㅇㅇ (2022.10.19 13:03:12): etn이라 구성종목이 없다고 보면 된다. 추적지수는 코스닥100 선물-x2일거고  - dc App|ㅇㅇ (2022.10.19 04:28:14): 근데 왜 etn으로 냈지|ㅇㅇ (2022.10.19 13:02:11): 떨어질 가능성이 높다고 보는거임. etn이 녹아버리면 증권사가 전부 수익보니까  - dc App|이자요이_사쿠야 (2022.10.19 05:05:27): 돈복사기네 군침돈다|ㅇ (2022.10.19 06:57:23): 이런거 출시될때가 변곡점이던데 ㅋㅋ|00 (2022.10.19 08:01:09): etf로 내주지..|ㅇㅇ (2022.10.19 10:17:05): 코인숏도 그렇고 이런거 나올때가 저점근처던데|ㅇㅇ (2022.10.21 20:18:49): 돈복사기 ㄷㄷ,2022-10-18 18:27:06,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2425247&exception_mode=recommend&search_pos=-2424423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
국가별 주가 회귀 수준.,https://gall.dcinside.com/mgallery/board/view/?id=chstock&no=152081 이미지 순서 ONS&P - 2020년으로 회귀2 이미지 순서 ON코스피 - 2012년으로 회귀3 이미지 순서 ON항셍 - 1998년으로 회귀4 이미지 순서 ON니케이 - 1988년으로 회귀5 이미지 순서 ON코스닥 - 코로나 정점일때도 시초가 못감.,현대모비스 (2022.10.15 08:19:11): 니케이 단단하노 - dc App|ㅇㅇ (2022.10.15 08:20:29): 코로나떄 공구리 잘 친듯.|ㅇㅇ (2022.10.15 08:21:58): 슨피는 저렇게 보니까 그냥 유기농 조정이네|ㅇㅇ (2022.10.15 08:22:40): 의외로 별로 안떨어짐...|ㅇㄴ (2022.10.15 14:06:03): 로그스케일이잖아|건강대장 (2022.10.15 08:26:53): 80년대 일본은 미쳤구나  - dc App|ㅇㅇ (2022.10.15 08:43:54): 코로나 정점일때도 시초가 못감 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시팔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅇㅇ (2022.10.15 10:02:34): 갓본형님들 그래도 엔화 휴지로 만들어서 80년대를 만들었노 ㅋㅋ|ㅇㅇ (2022.10.15 10:31:18): 일본은 뒤로 갈수록 좋은거잖아|ㅇㅇ (2022.10.15 14:10:23): 코스닥 3000은 어캐 간거임? 저때 3000은 화폐가치도 좋아서 더 높은 3000일거 아니야|ㅇㅇ (2022.10.15 14:13:16): ㄹㅇ 나 태어나기도 전인데 어이가없노 누가 분석글 '써줘'|ㅇㅇ (2022.10.15 15:24:04): 버블닷컴 때래|ㅇㅇ (2022.10.15 16:57:12): 문프빨|글이야 (2022.10.15 15:40:40): 니케이 ㅎㄷㄷ|인덕원꼬마 (2022.10.15 15:55:53): 더 좆같은건 코스피 코스닥 전체시총은 존나 늘음킹적분할 좆상증자 때메,2022-10-15 08:18:08,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2416458&exception_mode=recommend&search_pos=-2414423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
노잼같아도 긴축기에는 삼성생명같은 보험주가 답이다 게이들아,2021년 12월 30일 삼성생명 주가 64100원2022년 10월 7일 삼성생명 주가 65800원2021년 12월 30일 코스피 지수 29772022년 10월 7일 코스피 지수 22322021년 12월 30일 코스닥 지수 10332022년 10월 7일 코스닥 지수 698코스피 코스닥 지하실까지 꼴아박는동안 삼생은 상승하면서 시총 순위도 코스피 30위에서 21위까지 올라갔다ㅇㅇ,ㅇㅇ (2022.10.10 09:23:26): 조만간 보험금 수령을 동반한 의문사 폭증할 예정|ㅇㅇ (2022.10.10 09:24:19): 다 죽으러가노|ㅇㅇ (2022.10.10 09:25:45): ㅇㅇ 삼생 이평 정배열도 예쁘고 반년안에 크게갈거야,2022-10-10 09:22:26,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2403443&exception_mode=recommend&search_pos=-2404423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
올해 2022년이 제일 역대급 장인듯 ㅋㅋㅋㅋㅋ,"작년이나 올해초 주식 시작한 애들은 이길수가 없는 싸움임보통 흔히 생각하는 '우량주 가치투자'가 절대 안통함니들 2월달까지만 해도네이버 30만원, 카카오 8~9만원도 언론에서 존나 싸다 했음IT 기업에 성장성 뚜렷한데 PER도 생각보다(?) 안높고 그래서증권사 새기들이 전부 매수의견 냈었음장투하는 애들은 주가 떨어지는대로 물 존나탔지근데 8개월 지난 지금 10월?네이버 카카오 바뀐거 하나 없는데네이버 16만원, 카카오 5만원이다 ㅋㅋㅋ 근데도 비싸다고 매도의견 ㅋㅋㅋ근데 16만, 5만은 ㄹㅇ 싼 가격 맞음 ㅋㅋㅋㅋㅋ 그래도 쉽게 못사지근데 그럴만함이미 개미들은 네이버 30만원일때 물 존나타다가 20만원 쳐 보고 아 ... 십 오르겠지 이생각하다결국 16만원까지 마주한거임 ㅋㅋㅋㅋ 16만원이면 앉아서도 20% 먹는데못사? 왜? 돈이 없으니까장투는 주가가 내려가면 물 타면 된다고 하는데 물타다보니 내 재산 순삭되고2022년 내내 하락장이니까 걍 계좌 개노답 되어버림.동학개미들 이미 존나많이 털려서지금 코스피 코스닥 장 보면 거래량 ㅈㄴ 처참함ㅋㅋㅋㅋㅋㅋ그니까 주가가 오를 턱이 있나좃개미들 -50% -60% -70% 찍고 한강뷰 봐야할 각인데동학만 그런거 아님 서학은 더함 ㅋㅋㅋ레버리지 돌린애들 TQ나 SOXL 고점에 물린애들보면-60%, -70% 기본이다. 그래도 얘들은국장 물린애들보다 더 빨리 복구 가능함SOXL? 지금 11불이지만 시간의 문제지 25~30불까진 흐름타면 단숨에 간다근데 네이버? 지금 국내주식 거래량 처참한거랑 시장 박살난거 보면네이버 40만원은 절대 안옴 내가보기엔 30만원도 안올거 같음 (장 분위기 바뀌면 23~25만원까진 오겠지만)어떻게보면 미국 ETF 레버리지보다 더 G랄 맞은게 국내 우량주식임 ㅋㅋㅋ 개털임뭐 살게 없어 근데 동학개미들이 뭐아냐그냥 대기업 주식이니까 샀겠지 ㅋㅋㅋㅋ 뭔가 잘 아니까근데 원래 주식 그렇게 하는거 맞아 평소의 장이었음네이버든 카카오든 존버타면 돈 벌었지근데 그 거품이 2021년 정점이 되어 미래의 가격 가치를 너무 빨리 끌어서그 거품 터진 가격이 지금 가격이 된거지내가보기엔 코스피 3300 이 경이로운 수치는2022년엔 당연히 못달성하고2023년에도 무리2024년에도 무리라 본다나스닥 16000 탈환하는게 더 빠르다봄한국은 이제 성장동력이 없어졌고부동산 뇌관터지면 코스피 3000은 전설적인 수치가 될 가능성이 높다.문재앙 - 굥재앙 투탑 아주 지리구여","ㄴㄴ (2022.10.07 15:57:18): 국장은 우량주 투자하는게 아닌거 같아|ㅋㅅㅋ (2022.10.07 16:00:43): 난 국내 우량주 다 괜찮다보는데, 이번 2021년에 거품이 너무 꼈음, 국장답지않게... 작년에 엔비디아, 메타, 구글, 테슬라 다 거품끼긴 했지만 그만한 거품이 네이버, 카카오에도 같이 있는건 개오바지|ㅋㅅㅋ (2022.10.07 16:01:49): 지금은 거품 겉어낸 가격이라 가격자첸 나쁘지 않음. 원래 딱 이정도 가격대로 안정적으로 형성되었어야 했는데 작년 거품이 너무 커서 물려있는 개미들이 너무많음 ㅋㅋ 이제 내년에 찐 대폭락 함 오면 ㄹㅇ 한강뷰 가는사람 ㅈㄴ 많을거다|ㅇㅇ (2022.10.07 17:31:37): 18년 미중 무역분쟁때 주식한 사람들도 지금 어려운 장이래|ㅇㅇ (2022.10.08 00:16:49): 2015년부터 했는데 2018년은 양반이지 지금은 반등도없다 ㅋㅋ|삼성전자기로직스 (2022.10.07 17:32:15): 미친놈아 일단 네이버 카카오가 우량하냐? 미국엔 저것들보다 100배는 우량한 회사 널렸음. 그리고 P/E 100 넘을때 사는게 어느나라 대가리 총맞은 가치투자냐?|ㅇㅇ (2022.10.07 20:21:22): 헬조선에선 네이버 카카오정도면 우량주맞지ㅋㅋ헬조선인들은 이미 네카오없이 살수없는 몸이되버렷다|ㅇㅇ (2022.10.07 17:40:59): 윤석열은 경제에 관심이 아예 없는거 같음.최소한의 지시라도 내려야할때 아직까지도 니가 잘못했니 내가 잘못했니 예송논쟁 ㅇㅈㄹ 하는 꼬라지 보면 앞으로 5년동안 존나 암담할거 같다...|ㅇㅇ (2022.10.07 17:43:12): 문재앙 윤석열 둘다싫은데 정치인새끼들은 툭하면 즈그들끼리 싸우는 방송, 단상에 올라가서 뭐 발표하는것만 씨부려줌 현실은 변하는거 좆도없고 범죄만 더 생김|ㅇㅇ (2022.10.07 18:23:24): 문재앙도 돈 존나풀어서 원인제공 한새끼라 욕먹어도 싸지만 지금 현정권 대처도 좆병신인데 문재앙 들먹이면서 우리윤카는 아무잘못없어~ 이지랄거리는 새기들보면 진자 오함마로 대가리 깨고싶음|ㅇㅇ (2022.10.08 00:20:04): 이런 소리하면 신입이같이 뇌가 절여진애들이 와서 선족으로 몰아감ㅋㅋ|ㅇㅇ (2022.10.07 17:42:23): 근데 맞긴맞음 솔직히 미장가면 카카오 이 애미뒤진 좆병신 내수기업은 제외시키고 네이버 같은 우량회사 널리고널렸지 괜히 삼성원툴이란 단어가 나온게 아닌듯 근데 그마저도 이젠 따ㅣ잇|ㅇㅇ (2022.10.07 18:35:30): 근데 속슬 30불가려면 나스닥 3만 찍어야할껀데 살아생전에 볼수잇겟노?|ㅇㅇ (2022.10.08 20:34:17): 속쓸은 3배라 나스닥14k만 가도 됨  - dc App|ㅇㅇ (2022.10.07 18:57:57): 미안한데 카카옷< 하나만으로 우리나라 코스피 3300 불가능 하다고 본다. 지금도 퍼 보면 미친듯이 높다.|ㅇㅇ (2022.10.07 19:05:05): 이글보고 내이년 풀매수함|ㅇㅇ (2022.10.07 19:27:57): 떨어지는 주식에 좋다고 물타는 놈들은 원래 망해야됨 그래도 정신 못차림|CuteSena (2022.10.07 19:58:56): 근데 속슬은 30못감 ㅋㅋ|ㅇㅇ (2022.10.07 20:08:09): 어차피 처음 시작하는 사람은 지속적으로 따기 힘들지 규칙을 모르니까|ㅇㅇ (2022.10.11 10:00:28): 문재인은 인류에 없던 전염병 쳐맞고 일은 했다고",2022-10-07 15:47:26,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2399737&exception_mode=recommend&search_pos=-2394423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
니들 맘에 안들면 imf고 주작이야? 병신들,97년 하고 2022 현재가 주변 상황이 같냐? 당장 97년 위기의 근본원인은 대기업들이 코스닥 개잡주마냥 200% 넘는 부채율이 일상이었음 사업은 내돈 아닌 남에돈으로 하는거라는게 농담 아닌 진담으로 받아들여지던 시절로  사기꾼 조센징 마인드의 전성기 ㅋ 지금 대기업들 중에 부채관리 저지랄인 곳 있음?,,2022-10-07 10:56:09,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2398845&exception_mode=recommend&search_pos=-2394423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%EB%8B%A5&page=1
