Column1,Column2,Column3,Column4,Column5
제목,내용,댓글,작성일자,URL
[공지] 코스피 갤러리 회원 일동 송별회 [告知] 送別会について,"1 이미지 순서 ON 마우스 커서를 올리면이미지 순서를 ON/OFF 할 수 있습니다.2 이미지 순서 ON(작년 송별회 컨셉 촬영본)안녕하십니까 존경하는 코스피 갤러리 회원 일동 여러분.파딱 무리뉴입니다.언제나 변동성과 기회가 공존하는 주식 시장 속에서, 올 한해 함께 고민하고 지혜를 나누며 성장할 수 있던 올해의 증시. 벌써 폐장을 앞두고 2023년을 떠나 보내게 되어 아쉬운 마음이 가득합니다. 갤러리에선 보낸 시간은 시장의 흐름, 종목 분석 만으로 그치지 않고 함께 즐기고 고통받던 커뮤니티 이상의 가치를 하였다고 생각됩니다. 주식 시장이라는 거대한 정글을 헤쳐나가며 서로의 버팀목이 되어준 소중한 경험이었습니다. 갤러리라는 이 소중한 공간을 통해 앞으로도 함께 성장할 수 있는 커뮤니티로 이어지길 진심으로 기원합니다. 여러분들과의 소중한 추억을 위해 작은 자리를 마련할까 합니다. 관심있는 회원 분들은 부담없이 참가해 주시면 감사하겠습니다. • 일시 : 2024년 12월 21일  • 장소 : 서초역 4번 출구 인근 파크빌딩 • 내용 : 2024년 주식 복기 및 중장기 투자 인사이트 공유, 미팅 (드레스코드 : 재학 중 교복)3 이미지 순서 ON* 올해 졸업을 앞둔 회원을 위해 축하 파티 및 경품 추천이 있으므로 참고해 주시길 바랍니다.감사합니다.「翻訳」（昨年の送別会コンセプト撮影本）コスピギャラリーの尊敬する会員の皆様へこんにちは、マネージャーのムリーニョと申します。　いつも変動性とチャンスが共存する株式市場の中で、今年1年間、皆様と共に悩み、知恵を分かち合いながら成長できたこと、大変感謝しております。しかしながら、今年の株式市場ももうすぐ閉場を迎え、2023年を送り出す時期となり、寂しい気持ちでいっぱいです。ギャラリーで過ごした時間は、市場の流れや銘柄分析にとどまらず、皆で喜びや苦しみを共有するコミュニティとしての価値を超えたものだと思います。株式市場という広大なジャングルを切り抜けながら、互いの支えとなった貴重な経験は、一生忘れられないものです。このギャラリーという大切な空間が、これからも共に成長できるコミュニティとして続いていくことを心よりお祈り申し上げます。また、皆様との大切な思い出を振り返るため、小さな集まりを計画いたしました。ご関心のある会員の皆様は、どうぞお気軽にご参加ください。 • 日時: 2024年12月21日 • 場所: 瑞草駅4番出口付近パークビルディング • 内容: 2024年株式市場の振り返りおよび中長期投資のインサイト共有、ミーティング • ドレスコード: 在学中の制服*なお、今年卒業を迎える会員の皆様を祝うパーティーや景品抽選も行われる予定ですので、ぜひご参考ください。ありがとうございます。- dc official App",HNH (12.01 12:38:03): 언니저통화중인거그만올려욧|무리뉴 (12.01 12:38:36): ㅋㅋㅋ 근데 너 넘 귀엽게 나와갖구…  - dc App|ㅇㅇ (12.01 13:53:43): 저 국민학교 중퇴라 교복이 없는데 어떡해양?|ㅇㅇ (12.01 14:03:37): 이거 진짜야? - dc App,2024-12-01 12:30:32,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4284859&exception_mode=recommend&search_pos=-4284423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%ED%94%BC&page=1
정리하자면 금투세폐지법난을 2일날 법안 올리겠다 이말임,법안을 올리고 국회 다수 동의로 통과는 그후에임문제는 통과는 민주당의 최후의 책임인데 문제는 또 더 기다려야함결국 연말가까이 다채워서 최후의 통과까지할거라는건데그때까지 폐지하라고 압박은 해야함쟤네는 여론보고 움직이는애들이라 표안되겠네?이러면 진짜 시행으로 통과시킴근데 글쓰다 개빡치네 ㅅㅂ 그냥 9월에 결정했으면 ㅅㅂ아코스피 국장 덜떨어지고 미장으로 도망갈애들도 좀 몸출건데ㅅㅂ 실컷 다빠지고나니까 이제야 한다고 ㅈㄴ 얼탱이없네,노코리아 (11.29 17:14:02): 믿지마라. ㅋ 한국인 80퍼가 사기꾼이다. 제정신이면 이지경까지 안왔다|ㅇㅇ (11.29 17:36:43): 12월 마지막 국회 본회의 10일인데|인덕원꼬마 (11.29 19:11:06): 정치인의 99프로가 사기꾼이다,2024-11-29 17:11:35,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4282891&exception_mode=recommend&search_pos=-4284423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%ED%94%BC&page=1
11월 코스피 콜이면 개추 풋이면 비추,,,2024-10-31 19:32:50,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4215464&exception_mode=recommend&search_pos=-4284423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%ED%94%BC&page=1
12월 코스피 콜이면 개추 풋이면 비추,상승이냐 하락이냐 그것이 문제로다- dc official App,재명세1 (11.29 14:34:23): 국장에 돈 넣지 마라.|ㅇㅇ (11.30 09:51:43): 사탄랠리,2024-11-29 14:26:57,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4282414&exception_mode=recommend&search_pos=-4284423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%ED%94%BC&page=1
똑똑한 사람이 미장에 간 게 아님ㅋㅋㅋㅋ,"너무 늙어서 새로운 시도를 하기 겁나는 노인들만 국장에 남은 거임제정신이면 지금 국장을 하겠냐?노인만 남아서 재벌수호 나라수호 외치면서 돈 가져다 바치고 있는 거임미주갤 가서 국장, 코스피 뭐 이런 거 검색해봐라 ㅋㅋㅋㅋ 걍 다 조롱만 하고 있음",ㅇㅇ (11.28 16:18:16): 젊은애들은 단타쟁이만 남음|hin (11.28 20:00:45): ㄹㅇ 나도 단타충이긴 해  - dc App|냥투더냥 (11.28 16:19:19): 그럼 미장부터시작하면됨?  - dc App|ㅇㅇ (11.28 16:20:25): 그냥 미장하면 됨|ㅇㅇ (11.28 16:20:40): 국장하느니 차라리 로또를 사라|ㅇㅇ (11.28 17:03:00): 테마만 하고 쏙 빠지는거지 뭐|VWVWV (11.28 19:23:02): 국장 투자자 논란|ㅇㅇ (11.28 21:24:29): 나이든사람도 다 미장갔다새끼야 코인이랑 ㅋㅋ|ㅇㅇ (11.29 07:20:09): 어르신들 코인하더라 ;; 진짜 애국자들만남음  - dc App,2024-11-28 16:16:41,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4280067&exception_mode=recommend&search_pos=-4284423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%ED%94%BC&page=1
코스피갤 글리젠 꼬라지만 봐도 국장 망한거 체감됨,장 중인데 1페이지에 20분 전 글이 있음미친거 아님?,,2024-11-28 14:48:20,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4279895&exception_mode=recommend&search_pos=-4284423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%ED%94%BC&page=1
밧대머리.. 상법개정 반박...,"1 이미지 순서 ON2 이미지 순서 ON1. 상법을 개정하지 않아서 저평가됐다는 것은 마타도어다-> 이에대항 반박은 실제 글로벌 투자자 인터뷰를 진행한 논문 내용으로 갈음함. 외국인 입장에서 한국시장 저평가의 원인은 시장접근성이 떨어지기 때문으로,이는 A. 외국계 플레이어들의 진입장벽이 높고B. 한국의 보호주의적 제도, 관행, 불투명성C. 공매도나 시스템트레이더에 대한 불신 등D. 영문공시나 주주투표 불편성, 외국인 투자자와의 소통 부재 등에서 기인하며 근거 B가 상법과 연관이 된다.(보호주의적 제도) 외국에서는 주주의 이익을 생각하는것이 당연한데 한국은 명문화돼있지 않다고 하여 후진적 행위를 일삼음(불투명성) 2. 에코프로20배 삼전 150배 노짱 코스피 4배 오를 때도 현 상법 하에서 일어났다-> 종목으로 예시를 드는건 말이 안된다. 마녀공장, 루보, 코데즈컴바인 등 작전주가 수십배 오르는 것도 다 현행 상법하에서 일어난 일이다.또한 노무련때와 80년대 코스피가 오를적에는 우리나라가 높은 성장률을 보이던 시기였고 이제는 선진국, 저성장 국가에 접어 들었다. 이것 또한 1의 반박에서 쓴 논문을 재인용 하겠다. ""한국 자본시장은 안정성이 현재 선진국 수준으로 봐야하며 한국의 산업기반, 무역수지, 경상수지 등을 볼때 선진국으로 봐야 한다. 그러나 계속 신흥 시장에 있는 이유는 시장접근성과 효율성 때문이다. 외국인 투자자는 현지투자로 인해 노출된 위험을 헤지할 수 있어야 하고 투자자금을 효율적으로 회수할수 있어야 한다(수익률을 뜻하는 것으로 보임) 한국이 계속 이머징 시장으로 분류될 경우 인도, 베트남 등의 빠르게 커지는 자본시장에 밀려 한국의 비중은 줄어들 수 밖에 없다.""3. 24년 국내증시의 나홀로 하락은 금투세 때문이다-> 여러 복합적 요인이 있지만 폐지돼야 할때 질질 끌어서 레벨다운된것은 맞는 말이다.파생 분석, 매크로 분석 등도 설명할 수 없는 세계꼴찌 수익률은 사실 금투세로인한 수급부재와유동성 악화, 국민연금및 외국계 패시브의 기계적 비중 감소, 그리고 받아야할 개미가 다른 투자처로 떠나며 악순환이 이어지는데에 있다.그러나 금투세는 폐지예정이고 이제는 상승을 위해 논의해야 한다.내 글에서 9월부터 금투세폐지와 동시에 상법개정, 증시개선안 경쟁구도가 나올 수 있다고 했으며중국 증시부양책과 소비개선으로 유동성 출구전략, 또 순대외자산을불러오면 원화절상되는 구조라고 분석한 바 있다앞서 말했듯 외국계 투자자금 입장에서는 지금 저가매수(미장 차익실현 및 출구전략) 은 충족한 상황이지만 접근성과 제도적관행이 개선되지 않으면 장기 투자자금이 다시 들어오는것은 요원하다.재명세 폐지안해서 빠진것도 같은 맥락이듯 시간끌수록 수익률이 계속 빠지고 기관들 연말평가도 있기때문에단순히 호재/악재가 없어지면 주가 원상복귀 되겠지 하는건 나이브한 생각이다악재를 오래 냅두고 가야할 때 못가면 결국 레벨다운 되는 것임 상법개정도 똑같음 경제가 안좋다면서 거버넌스 개선도 없고 저성장에 저출산인데 외국계 장기 자금이 어떻게 투자할까이건 기업 실적이 좋아지든 말든 10년이상 보는 온리 롱 펀드 입장에선 이제 한국은 엑시트할 시점이 다가오기때문에자본 국제화 없이는 파국을 해결할 수 없다. ( 실제 KRX 통계분석 외국인 투자동향 분석상 10-11월 한달동안 삼성전자의경우 이전까지도 안팔던 북유럽 롱 펀드 계열 자금이  대량이탈(로스컷 추정) 을 확인 할 수 있음. 헷지펀드가 아닌 장기 자본인데 맥없이 손절하는건 그들의 입장에서 이러한 배경이 반영됐을거란 추측임)연금 연구원에 따르면 국민연금 고갈시작 시점이 2040년이고 이후부터는 고갈률>수익률 이기 때문에 가속화되어 2050년 고갈 예상이다 그렇게되면 국채로도 땜빵 못하고 국내주식 다 팔아도 연금을 못주는 사태가 벌어짐지금도 연금기금 활용해서 공무원연금,군연금등을 적자 메우고 있기때문에 당연히 공무원,군인 등 모든 부분에서 이탈이나 업무 저하가 일어날거고 무엇을 생각하든 생각하는것보다 더 안좋은 상황이 벌어질거다.국민연금 가입 자율화는 있을 수 없고 너네 자식은 월급에서 연금 60% 떼갈 수도 있다기업 오너들 2050년에 대부분 3세로 물갈이 된다는것을 알아야 한다4. 국내기업 수탈과 경쟁력악화, 나라팔아먹는 것이다 등의 주장-> 이는 위의 3번에서도 반박했지만 실제 연금 수익률상 나라가 망하는것은 어차피 시간문제이고Kiep대외경제정책연구원의 '순대외자산이 금융시장에 미치는 영향성'연구에 따르면 "" - 순대외금융자산 흑자 시기, 즉 국내 자본을 이용한 금융 국제화의 열린 기회는 중장기적으로 저출산 및 고령화에 따른 국민연금 기금 감소, 경상수지 적자 전환 가능성이 예상되고 있어 향후 10~15년으로 제한될 가능성""  이라는 분석이 있음즉, 현재 경상수지 흑자, 순대외자산 사상최대규모, wgbi편입등 좋은 상황에서 자본시장 개방을 하지 않으면 앞으로 더더욱 힘들어지는것이 자명하고, 시간이 갈수록 패시브자금은 계속 비중을 축소할 것이고 신흥시장내 다른 국가들이 치고올라오며 한국의 비중은 더더욱 낮아질 것임.우리나라는 고성장을 위해 자본시장 구조를 애초에 이렇게 설계를 해놨다. 이제는 바꿀 때가 됐다.아래 사진은 앞에 인용한 실제 외국인 인터뷰 논문임.3 이미지 순서 ON4 이미지 순서 ON5 이미지 순서 ON","진성준티이씨 (11.25 16:13:36): 상법이든 자본시장이든 논의라도 하는게 맞는데 개인적으로는 상법쪽이 더 효과적이라 생각은 한다|ㅇㅇ (11.25 16:20:20): 정보) 씨,유, 지,에,스,25 에서 5,000 상,품,권 받자1. 앱,스,토,어,에서 [지,니,어,트] 검색, 다운2. 회원ㄱㅏ입 후 추,천,인에 [79QEU] 입력하면 5,000 지급3. 받은 캐시로 [쿠,폰,샵]에서 구매 ㄱㄱ|ㅇㅇ (11.25 16:37:18): 매년 딱 한번만 있는 블,프 시작했음ㄷㄷㄷㄷㄷㄷhttp://a.to/241Bd2y 여기 할,인,쿠,폰 정리되어있음 확인ㄱㄱ해",2024-11-25 16:05:25,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4274295&exception_mode=recommend&search_pos=-4274423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%ED%94%BC&page=1
내가 주식 해보니까,자기 주관을 가지기 시작하면 크게 잃게 된다 그냥 시장을 있는 그대로 봐야하는데 사람이 그게 참 잘 안돼 자기 생각 의견 확신이 들어가면좆돼는거야 ㅜㅜ자 지금 하락하고 있는 중이라고 치자 근데 코스피가 어디까지 하락할까 ?? 라는 물음에 니가 답을 내면 좆돼는거야 그냥 시장이 알려준다 이거야 그 때까지는 기달려야 돼 그리고 한국은 진짜 유래없는 위기 상황에 놓인 것은 분명한 사실임 ...대내외적으로다가 경제 삼주체 모두 엄청난 빚을 지고 있는 상황인데 이거 단시간안에 절대로 해결 될 수 없는 문제임 미국이 한국을 환율 조작국에 지정을 했다.. 이건 그냥 대놓고 우리나라 타켓 삼겠다는 소리임 ....나라면 물린게 20%이하면 무조건 다 팔고 그냥 1-2년 동안 논다.,,2024-11-23 21:42:17,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4271842&exception_mode=recommend&search_pos=-4274423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%ED%94%BC&page=1
한국 증시에 관하여,1 이미지 순서 ON 안녕하세요 그동안 잘들 지내셨나요 형님도 존나 힘드네요 며칠전에 형님이 금투협회 데이타를 받아서 못하는 컴퓨타 엑셀 실력으로 그라프를 좀 그려봤는데요2 이미지 순서 ON3 이미지 순서 ON 신용잔고가 많이 빠져서 이제 16.7조 인데 코스피 신용잔고 9.8조 코스닥 신용잔고 6.8조 이네요 코스피는 많이 안빠졋고 코스닥은 데이타를 쏠팅 해보니까 20년이후 역대 최저네요 현재 코스닥 신용 레벨은 20년 코로나로 지옥에 가고 올라오던 중 입니다 비슷한 레벨이 그때 밖에 없어요 22년 지옥장보다 지금이 더 뒤졋네요 코스피는 아직 살아있어서(??) 예탁금대비 신용비율은 33퍼 정도입니다만 코스닥 잔고비율은 14퍼로 진짜 개같이 뒤졋네요 보통 전체신용잔고비율이 30아래로 가면 지옥이자 불반등의 신호인데 코스피가 버티는건 삼전과 은행 등 금융주에 신용이 늘어난게 좀 큰거 같네요4 이미지 순서 ON 삼전 지금 신용레벨이 이정도 이고 22년은 찾아보니 육칠천억 정도 되는걱 같습니다 그때보다 삼전 신용이 두배 조금 안되게 많습니다 삼전 얘기가 나와서 하는 말인데 자사주 10조가 개좃도 아니다 이런 의견이 많은데요 형님이 보기에는 뭐 어찌보면 별거 아니고 어찌보면 큰 의미가 있습니다 외인 삼전 보유비율은 49~ 50중후반을 왓다갓다 합니다 지금 ㅣ은 56에서 51까지 뺏군여 지분 5퍼 빼는데 3만원 정도 주가가 빠졋네요 최저치까지 뺀다고 치면 여기서 2~3 퍼 더 빼겟습니다 현재시총 300조에 그 3퍼가 바로 10조입니다 이게 어떤 의미가 되냐면은 자사주 10조 매입은 역대 최저치까지 뺄때 파는 물량 10조를 받아서 사이클이 턴할때까지 시간을 벌게 해준다는 겁니다 뭐 물론 기술적으로 일간 자사주매입량보다 매도량이 많으면 매입기간 중에도 주가가 내릴수는 있겟지만 그렇게되면 어쨋거나 매도는 끈나고 나중엔 자사주매입은 남아서 상승에 힘을 더해주겟네요 이러나저러나 그게그거고 뭐 형님의 판단은 그렇읍니다 그리고 어차피 형님은 삼전 삼전우 합쳐봐야 포트에 4퍼 정도 되는데 마6정도 되는듯 대신에 소부장으로 인생 지옥에 가고잇는데5 이미지 순서 ON6 이미지 순서 ON7 이미지 순서 ON8 이미지 순서 ON9 이미지 순서 ON뭐 이건 씨바 미친새끼들이 아닌가 시포요?? 형님이 나름 땅굴만 몇십년 판 땅굴전문가 방망이깎는 노인인데 이번에 와 시발 다 바닥 대바닥 잡앗네 햇는데 지옥에 떨어졋네요 코스닥은 형님이 볼때 코로나 폭락이후 역대 최고입니다 코수피도 뭐 듀ㅣ질만큼 디졋긴 마찬가지고 어찌보면 패시브 세상의 폐해 같기도 하네요 패시브라는게 오르는건 계속 오르게 내리는건 계속 내리게 하는 힘이 큰데요 국장이 계속 좆병신쩌리짓을 해서 하락을 하니까 사람이 계속 빠져나가고 그러니 더 떨어지고 그러다보니 msci 같은 거에 한국 비율이 빠져서 리밸런싱 할때마다 자금이 더 빠지고 그러니 더 좆돼서 더 빠지고 거기에 금투세를 쳐붙이고 거기에 기업 개별로는 밥캣 이수 등등 개좆짓거리를 하고 아주 온갖 붙을수있는 온갖 악재는 다 붙엇네요 원래 액티브에 힘이 잇는 시장이면 저가에 매수가 들어옵니다 근데 기관이나 외궈나 요즘 다 etf거든여 저가가 될수록 돈이 더 나가는게 매일매일 눈에 보이고 욕이 나옵니다 아 그리고 상법 얘기가 요새 많은데 상법개정한다고 갑자기 오르고 그런거 없습니다 그리고 외국에도 '이사는 주주의 이익을 위해야한다' 이런게 없다고도 하더라구 근데 형님은 해야한다고 생각을 해요 왜 해야하냐 뭐 외국은 의식이 당연히 주식회사 이사면 주주를 위하는게 당연시돼잇고 뭐 대딩때 배웟듯이 주식회사의 목적은 maximize shareholder's benefit 인데 한국은 이사가 회사를 위해 일한다 대주주를 위해 봉사한다 어쩌고저쩌고 간단하게 한국이 아직 자본주의가 덜 성숙해서 그럼 자본은 주주를 위해야하는건데 아직 덜 깨우쳐졋으니 이참에 상법에 박아서 명문화를 하자 그래야 장기자본이 들어오고 장기성장을 한다 이거임 장기성장을 한다는 건 지수추종이 가능해진다는 건데 지수추종이 되는 지수와 시장이 된다는건 엄청난 의미와 효과를 가져옴 패시브의 유입으로 장기 성장이 셀프메이킹 될뿐만 아니라 변동을 완화시킴 장기성장 ㅡ 패시브 유입 ㅡ 장기성장 가속 ㅡ 패시브 유입 ㅡ 연금 유입 ㅡ 성장 가속 지금 생각해보세요 국장 지수etf를 누가 사냐 다 단타로 사서 사팔사팔 하고 말지 이게 미국처럼 장기 홀딩이 될수잇다는거 쌀때 사서 장기홀딩이 된다는건 그 자체로 국장의 최대단점인 변동성 완화를 해줄수 잇음 미국 블랙먼데이때 sec의 조사결과 지수 etf가 잇엇다면 변동이 엄청나게 줄엇을거라는 연구결과가 잇습니다 아 시발 술처먹고 의식의 흐름대로 지껄이니까??? 글이 끝을 못내겟네요 암튼 형님은 지금 역사적 대바닥과 기회를 지나는 중이라규 생각합니다 미국이 여기서 폭락해서 좃되면 어카냐 미국이 30퍼폭락하면 국장 15퍼 폭락할거같네요 형님처럼 모든걸 깨달은 투자자는 미래가 다 보이네요 주식의 본질은 싸게 사서 비싸게 파는거입니다 하워드막스가 말햣습닏다 예측하지 마세요 10 이미지 순서 ON 예측하지말고 어떤 상황에도 성공하는 투자를 하세요 그건 바로 싸게 사는 것이고 지금은 존나 쌉니다 형님은 그렇개 투자해왓슴니다 투자의 본질이 그것입니다 잃지않는 투자를 하세요11 이미지 순서 ON 봣으명 꺼져그렇게 전철에 뗘들어 케챱되고 한강에 뗘들어 잉어밥 되는 겁니다,,2024-11-23 20:57:00,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=4271806&exception_mode=recommend&search_pos=-4274423&s_type=search_subject_memo&s_keyword=%EC%BD%94%EC%8A%A4%ED%94%BC&page=1
