Column1,Column2,Column3,Column4,Column5
제목,내용,댓글,작성일자,URL
2023년 전망 나는 이렇게 본다,"2021년은 미국 주식의 해고 2022년은 단기회사채의 해라고 봤음왜냐하면 2021년 상반기만 해도 원화 씹강세여서 미국 증시가 원화로 환산해보면 너무 못 올랐음2022년이야 파월이 그 전부터 금리 올린다 올린다 올리기 전에 알아서 튀어라 신호 보내고 있었기 때문에 금리 인상기엔 만기 짧은 단기회사채로 짧게짧게 만기 상환 먹으면서 새걸로 바꿔가면 개꿀이겠다고 계산이 섰음하지만 2023년은 진짜 나도 모르겠다진짜 하나도 안 보임여기에서 단서를 찾음모르겠다?아몰랑?변동성만 존나 심한 횡보장연말에 보면 변한 건 하나도 없는데 연중으로 보면 변동성만 오지게 커서 롱숏 다 죽여버리는 장국장은 테마도 졸라 짧고 하반기 가면 정치테마주 붐. 하지만 총선이라 대선같은 파괴력은 없고 역시나 짧고 토끼처럼 조루 찍정치테마주는 여당은 안씨, 한씨가 좀 변동성 심하고 야당은 내부 분열로 인해 또 이씨vs이씨 테마주 싸움 붙지 않을까 싶음금리는 상반기까지는 올리고 이후 횡보횡보횡보. 채권에 기관 개인 다 몰리고 있기 때문에 또 금리 올려서 모가지 따버린 후에 하반기에 횡보횡보횡보국장은 정부가 채권 무너지면 증시는 멸망이기 때문에 무조건 채권부터 살리려고 할 거고, 채권시장 안정에만 계속 주력하는 한 해가 될 거 같음예적금은 정부 컨트롤 빡세게 들어갈 거기 때문에 금리가 그렇게 크게 뛰지는 않을 거 같음(예적금 금리 올리지 말고 대신 대출 금리도 올리지 말라는 식으로 개인부채 컨트롤중이기 때문)자산 시장은 횡보횡보횡보이지만 일반인 체감 경기는 좆박았다고 느껴질 거 같음. 일반인 체감이 자산 시장보다 좀 느리기 때문대충 코스피 2200 기준으로 하단 2000 상단 2500쯤 되지 않을까 싶음 (2100~2450으로 보나 소폭 이탈 가능)지금까지 보이는 것들로 보면 이렇게 보임반박시 너 말이 맞음",,2022-12-30 23:08:46,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2551846&exception_mode=recommend&search_pos=-2554707&s_type=search_subject_memo&s_keyword=%EC%8B%9C%EC%9E%A5&page=1
짱로나 이후 근 3년 요약ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"짱로나터지고 경제 좆됐다느니하다가 미국이 금리내리고 돈살포하니까 자산버블와서 벼락거지네, 코인이 미래네, 나는 무적이고 나스닥은 신이네 돈복사 이지랄 떨면서개나소나 자칭 트레이더니 노동? 느금창ㅋㅋㅋㅋ이니 애미뒤진소리 시작  인플레 좆나게 오는 와중에 전쟁터져서 불난집에 기름을 부어버리니미국이 대응한답시고 역대급 폭, 스피드로 기준금리 올려버림다시 자산시장 시마이 ㅋㅋㅋ불과 1년 몇개월 전 전세거지니 벼락거지니 하던 시절에 부동산 까면 무슨 무슬림 앞에서 코란찢는것마냥 이단심문관 빙의해서 온갖 지랄 염병하던 영끌이새끼들 다 고점 물려서 변동금리 도트뎀에 서서히 뒤져가는게 현 상황이 온탕과 냉탕이 불과 3년짜리 시나리오임요약1. 요 몇년 사이보면 경기변동주기가 점점 더 짧아지는듯 함2. 원화채굴장은 매일매일 기나가야 함3. 미국 방향 반대로 역주행하면 자살관광버스4. 역발상투자해라",ㅇㅇ (2022.12.30 22:22:10): 변동금리 도트뎀에 부랄을 탁|ㅇㅇ (2022.12.30 23:45:04): 반대로 역주행하면 정주행아니노?|ㅇㅇ (2022.12.31 11:01:01): 도트뎀ㅋㅋㅋㅋㅋㅋ 표현력 지렸노,2022-12-30 22:21:19,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2551793&exception_mode=recommend&search_pos=-2554707&s_type=search_subject_memo&s_keyword=%EC%8B%9C%EC%9E%A5&page=1
(약스압) 2022년 존버중인 숏충이 결산과 투자기록,"1 이미지 순서 ON2 이미지 순서 ON산타랠리는 없었고, 예상대로 시장은 하락으로 무난흘렀음.여러가지 지표들을 보고 있지만 역시 특별한게 없는한 내년 초까지는 숏 존버할 것 같음.그리고 기간수익 부분에서 역시 지수가 위아래로 출렁이며 하락 하다보니 인버스 2배 레버리지라도 녹는걸 확인함.회고에 앞서 우선 나는 코갤이나 미주갤에 간간히 인증하는 고수들에 비하면 실력도, 시드도 풋사과임을 밝힘.2021년 늦가을부터 곱버스를 분할매집함. 이유는 당연히 높은 인플레와 유동성의 버블이 정점이라 생각.또한 그에 앞서 유동성 선봉이라 생각하는 비트코인이 고점을 찍고 불안한 조짐을 보이기 시작해서.마침 그때부터인가 옐런과 파월이 인플레 걱정없다, 일시적이다, 금리 인상 안한다 등의 설레발 치던걸로 기억.물론 그당시엔 고닉도 안팠고 유동으로 종종 곱버스 산거 의견을 물어봤는데 돌아오는 대답은 조소와 비하였음.누구도 코스피 3,500 돌파를 의심하지 않았고, 삼성은 14만은 기정사실에 국민주로 등극 또한 카카오와 네이버도 안사면 병신취급당했던걸로 기억함.나도 당시엔 비트코인 1억, 코스피 4,000, 나스닥 2만 돌파는 어쩌면 가능할지도 모른다고 생각했음.그러나 나름대로 지표 분석하고, 과거 통계자료 보고 이것저것 내 나름의 머리를 굴린결과 답은 인버스 몰빵이라고 생각했음.선물과 옵션은 하지 않음. 정확히 못한다고 표현해야할듯. 리스크를 감당할정도의 실력이 나한텐 없으니까.또한 그당시에도 출렁이던 원자재도 건들지 않음. 원자재와 환율은 신의 영역이라 생각해서 내가 컨트롤할수 없을것 같았음.결국 내가 선택한 전략은 2022년이 되기전까지 곱버스 몰빵에 그나마 조금 큰 변동성 투자로 코인 5레버 숏을 걸음.3 이미지 순서 ON당시 곱버스 2,000원 이하 매수는 매우 유효하다고 생각해서 지속적으로 매입함.그리고 곱버스가 연일 최저점을 갱신할때 곱버스가 너무 가격이 떨어져서 상폐된다느니, 혹은 합쳐져서 재상장한다느니 등의 소문이 돌았음.겁먹지 않았으면 거짓말이었을듯. 스스로 내가 틀린건가 몇 번이나 의심함.쥐좆시드지만 손실의 두려움에 부처님의 말씀인 나 자신을 등불삼아라를 몇 번이나 마음에 새김.그러나 왜인지 모르겠는데 1월 중순이던가 엘지엔솔 상장이후 시장이 본격적으로 박살날거 같은 느낌이 들었음.시장이 언제 하락할지는 또 얼마나 더 고점을 갱신할지는 아무도 모르고 막연히 분할 매수 완료후 기다리기만 했는데, 딱 엘지 엔솔때 감이 왔음.그리고 생각대로 시장은 인플레 이슈로 무너지기 시작함.그후부터는 코스피 2,800, 2,600 2,400 순으로 200포인트마다 곱버스를 분할매도 하고 다들 기억할지 모르겠지만 7~8월 여름 강하게 반등 할 때 오히려 닥버스와 곱버스를 탐욕스럽게 추매함.그렇게 계속 분석하고 확인하고 존버하면서 결국 올해 말까지 숏 존버함.사실 내 생각은 올해 가을까지 시장이 개박살나고 이후에 롱으로 전환해야 한다고 예상했는데, 시장은 생각보다 저항이 강하고, 또 그만큼 골이 더 길게 이어질거라 생각이 바뀌었음.결국 지금의 포지션은 여전히 숏 존버. 여태 투자에서 내 인생 역사상 최대한으로 숏충이로써 버틴거 같음.원래는 나도 스윙매매하고, 단타치고, 또 테마주 투자하는 개미었지만 도저히 시장을 이길수도, 수익을 잘낼수도 없었음.이후 전략을 바꾸기로 결심한게, 최대한 내가 잘알고, 유리한 분야만 투자하기(ETF). 그리고 거래 횟수 줄이기.헌데 결산을 했지만 돌이켜보면 난 올해 운이 좋았을 뿐일고, 내년은 또 어떻게 될지 모르겠음.아마 한동안은 여전히 숏은 존버하겠지만 그래도 2024년이 오기전엔 다시 예전처럼 롱으로 전환할듯함.그럼 다들 올해 장 고생했고 앞으로도 성투하시길 기원합니다.저도 별거없는 놈이지만 그래도 앞으로도 꾸준히 갤에 기록을 남겨서 생존 인증하겠습니다.",무리뉴 (2022.12.29 20:35:58): ㅇㅂ - dc App|ㅇㅇ (2022.12.29 21:39:15): 좆고수,2022-12-29 18:47:24,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2549917&exception_mode=recommend&search_pos=-2554707&s_type=search_subject_memo&s_keyword=%EC%8B%9C%EC%9E%A5&page=1
고졸 아빠가 600편 논문보고 직접 신약 제조,https://youtu.be/njL4hBPb2Js희귀병 걸린 아들 위해 직접 연구해 제조이정도 열정은 있어야 뭐든 성공한다 시불것들아누가 떠먹여주기만 바라는 것들이 먼 시장서 성공하길 바래염치가 있어라 새끼들아,ㅇㅇ (2022.12.29 11:47:58): 부성애 무엇 ㄷㄷㄷ|ㄹㄹㄹ (2022.12.29 11:49:06): 로렌조 오일  영화도 있다 닉 놀테 할배나오는거~|날으는꿈 (2022.12.29 13:25:09): c다  - dc App|ㅇㅇ (2022.12.29 11:54:30): 염치없이 받아먹겠다|ㅇㅇ (2022.12.29 11:55:02): 이게 된다고??|ㅇㅇ (2022.12.29 11:55:14): 불법 아님?|ㅇㅇ (2022.12.29 11:55:56): 한국에서 저러면 약사법위반 + 의료법 위반 + 그외 기타 등등 일 걸|ㅇㅇ (2022.12.29 11:57:55): 아 짱개였구만 ㅇㅇ|무리뉴 (2022.12.29 12:11:56): 셀트리온 나와 ㅋㅋㅋㅋㅋ|ㅇㅇ (2022.12.29 12:22:17): ㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅇㄷ (2022.12.29 12:24:50): 서정진아 셀트 떡상한다면서 날 속인거니? - dc App|PROPSY (2022.12.29 12:15:04): 신약 만드는 회사들 다 때려쳐야겠네 세계최고 의대 약대 다니는 멍청한 놈들 가져다가 월급루팡 짓하게 해놓고 저 아빠보다 못하네 ㅋㅋㅋㅋㅋ|ㅇㅇ (2022.12.29 13:46:43): 세계 최고 약대 의대 다니는 사람들이 쓴 논문이다ㅡㅡ|자게인 (2022.12.29 12:21:39): 개쩌는디  - dc App|ㅇㅇ (2022.12.29 12:30:21): 우리나라 제약회사들은 뭐하는놈들이냐?|ㅇㅇ (2022.12.29 12:59:22): 신장 망가졌을텐데|ㅇㅇ (2022.12.29 13:08:03): 제약회사들이 못만드는게 아니라 안만드는거지 기업은 수익을 추구하는데 10만명당 1명 걸리는 희귀질환에 연구비 때려박아가면서 개발하지 않으니까 개발 시도조차 안했을듯|ㅇㅇ (2022.12.29 13:45:56): 바로  임상 테스트 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  - dc App|ㅇㅇ (2022.12.29 13:46:01): 사망각  - dc App|오징어뽁음 (2022.12.29 13:52:56): ㅜ ㅜ  - dc App|ㅇㅇ (2022.12.29 14:44:04): 좆고전 - dc App|ㅇㅇ (2022.12.29 15:06:39): 희귀병 치료제는 제약사에서 못 만드는게 아니고 수익성이 안되서 안 만드는거래 ㅠㅠ|ㅇㅇ (2022.12.29 16:46:49): 고졸 아빠가 자기 아들에게 마루타 시전했다는거 아니노?,2022-12-29 11:47:34,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2548657&exception_mode=recommend&search_pos=-2544707&s_type=search_subject_memo&s_keyword=%EC%8B%9C%EC%9E%A5&page=1
12월 30일은 휴장일입니다. 29일이 마지막 거래일입니다,"주식, 파생, 장내외환시장 모두 29일까지 운영. (그러므로 12월 수익인증, 정산 및 휫자나눔은 29일부터 가능합니다^^)",ㅇㅇ (2022.12.27 23:07:06): 아|ㅇㅇ (2022.12.28 20:58:43): ㅠ결국 손실로 마감 하는구나 ㅠ|ㅇㅇ (2022.12.29 14:24:09): 야이 개슥기야 피자같은 소리하고 쳐자빠졋네,2022-12-27 23:03:59,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2545459&exception_mode=recommend&search_pos=-2544707&s_type=search_subject_memo&s_keyword=%EC%8B%9C%EC%9E%A5&page=1
요즘 환율 보면 이상하지 않냐?,"요즘 주식시장에서 외국인들은 팔고 있는데 환율이 떨어짐. 그럼 누군가 계속 달라를 팔아서 원화를 사고 있다는 이야기인데 음모론적으로 접근해 보면 외국계 헷지펀드들이 대기자금이 어마어마 하다고 함. 4000조가 넘는다 하고, 이 중 일부 자금이 한국으로 들어오고 있을수 있음.  또한 외국 유명한 헷지펀드 ceo에 한국계가 은근히 있는 상황.  한국은 지금 화학이나 건설 쪽 보면 순이익 대비 어마어마하게 저평가된 주식이 많음. 특히 이번에 김진태가 채권시장 고의로 박살내서 회사채 시장이 박살이 났고 건설업 쪽은 단기자금 문제에 빠지고 있음. 채권시장 부실로 정부가 돈을 퍼주지 않으면 imf 떄처럼 흑자인데 자금경색으로 부도나는 상황이 벌어질 수 있음. 만약 지금 헷지펀드들 자금이 들어오는 중이고 이들이 준비가 끝나고 나서 정부에서 여러 이유로 채권시장을 부양하지 않는다면 넘어갈 알짜기업들 많을 것임. 이건 음모론이니 심취하지는 말것.",현대모비스 (2022.12.28 19:39:58): 원화만 강해지는게 아니라 달러가 약해지는거야 - dc App|dddd (2022.12.28 19:41:10): 최근 두 차트 보면 원화가 상대적으로 더 강세임. 그리고 그냥 음모론이니까 너무 깊게 파고들지는 마|ㅇㅇ (2022.12.28 19:41:03): 소스가 어디야|dddd (2022.12.28 19:45:29): 헷지펀드 4000조랑 한국계 ceo는 이미 유명한 이야기|dddd (2022.12.28 19:45:32): https://www.chosun.com/economy/mint/2022/12/09/G5IT55SSURD3BJXCPJNQF6UD64/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news|dddd (2022.12.28 19:46:17): http://www.econotelling.com/news/articleView.html?idxno=6549|ㅇㅇ (2022.12.28 19:50:34): 내년부터 떡상이야??ㅠㅠㅠㅠㅠ|dddd (2022.12.28 20:25:12): 내년부터 시작인거지. 부도 위기가 와야 알짜기업들을 강제 합병이나 인수를 할거 아녀|dddd (2022.12.28 20:26:00): 음모론이 현실화 된다면 최소 1~2년 동안 연쇄 부도 날거다.|ㅇㅇ (2022.12.28 19:49:50): 외국계취업하겠네 개꿀 - dc App|dddd (2022.12.28 20:06:42): 비정규직으로|ㅇㅇ (2022.12.28 22:12:09): 펀드가 무슨 자선사업가냐 은행드처럼 정부에 잡혀있는 것도 아닌데 돈을 왜 기부해 사도 저가 매수를 하지|ㅇㅇ (2022.12.29 02:23:46): 주인님 원조주인님 유럽이 쌍으로 미국채던지잖어 ㅋㅋ,2022-12-28 19:39:08,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2547503&exception_mode=recommend&search_pos=-2544707&s_type=search_subject_memo&s_keyword=%EC%8B%9C%EC%9E%A5&page=1
내년에 부동산시장 일어날일,강제상환,ㅇㅇ (2022.12.28 20:46:20): 그것도 문제고 대출이자가 8프로대 진입 - dc App|dddd (2022.12.28 20:47:57): 작년에 억대 집이 2~3배나 올랐는데 LTV 낮추고도 그걸 살수 있는 사람이 이렇게 많다는 것에 놀랐다. 새끼들 돈 졸라 많았구나|dddd (2022.12.28 20:48:36): 불과 5년전엔 그렇게 돈 쌓아두고 기를 쓰고 전세만 구하러 다녔던거자나 ㅋㅋㅋ|ㅇㅇ (2022.12.28 20:48:13): 한강수위 떡상 예정|ㅇㅇ (2022.12.29 02:17:17): 대한민구사람 다빠져도 한강수위는 안 올라|ㅇㅇ (2022.12.28 20:51:25): 이대로 가면 대출이자 10프로도 장난이 아닐거 같아서 머|ㅇㄷ (2022.12.28 20:52:03): 정부가 LTV 규제를 완화해줄 가능성이 높지 - dc App|오징어뽁음 (2022.12.28 21:03:14): ㅎㄷㄷ  - dc App|ㅇㅇ (2022.12.29 02:24:54): 은행 : 강제상환비용 부족하시죠? 이자 15%에 대출해드릴게 ㅋㅋ,2022-12-28 20:45:13,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2547607&exception_mode=recommend&search_pos=-2544707&s_type=search_subject_memo&s_keyword=%EC%8B%9C%EC%9E%A5&page=1
한국시장 저평가가 북한무인기보다 재벌집내용이긴함,순양전자 순양자동차 순양카드 지주회사로 순양물산 만들어놓고 재벌3세4세들이 계속 승계짓 하는거 애플로 치면 애플카드 애플페이 아이폰 아이패드 에어팟이 각각 다 상장되어있고 애플캘리포니아란 지주회사를 세워서 지주회사 지분을 가진  오너일가가 지분 3프로가지고 전 계열사를 지배하는것도 모자라 오너행세하잖아 이건 유사k자본주의지 유럽 일본 미국에도 없는구조임. ​,"ㅇㅇ (2022.12.28 07:12:35): 덕분에 한국장은 큰 싸이클 크게 자주터짐 나름의 한국장의 재미임 우상향은 안하지마 - dc App|신입 (2022.12.28 07:13:31): 상속세가 저따위니까 그렇지 큐ㅠㅠㅠㅠㅠㅠㅠ|ㅇㅇ (2022.12.28 07:59:53): 그럼 이재용 승계를 위협을 하지마 이 씨발년아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅇㅇ (2022.12.28 08:11:45): 대주주 할증과세로 상속세 65퍼 때리는데 두번 물려주면 회사가 없어진다이게 말이 된다고 생각하냐?  - dc App|ㅇㄷ (2022.12.28 08:41:12): 넥슨 회장 뒤지니까 상속세 내느라 가족들 주식지분 다 팔고 떠남 - dc App|botrix (2022.12.28 09:15:44): 상속세 이거 이중과세임. 폐지해야 됨  - dc App|ㅇㅇ (2022.12.28 09:40:35): 박정희가 자본 해외로 빼돌리거나 꿍쳐두지 말라고  기업들에게 자회사 상장 혜택을 줌.  문제는 그걸로 쳔년만년 해먹으려 듬.|ㅇㅇ (2022.12.28 09:57:34): 상속 두번하면 회사가 없어지니까 ㅋㅋ|ㅇㅇ (2022.12.28 10:33:55): 이중과세로도 모자라서 몇번의 세금을 다 떼가는데 뭔 헬조선에서 ㅋ 그러면서 더듬당 병신새끼들은 기업이 세금으로 망할때까지 뜯어야한다고 개지랄들 떠는데 헬조선 자체가 비정상인데 남탓을 하고자빠졌누|ㅇㅇ (2022.12.28 11:02:39): 상속세 반깎아줘서 30%면 그럼 대기업들이 탈세를 안한대냐? 아님 중국처럼 0%로 만들어주리? ㅋㅋ|ㅇㅇ (2022.12.28 11:05:18): 애초에 상장사를 승계하려는 기업가들의 대가리가 터진건데 무슨 상속세탓을 하고자빠졌냐 꼬우면 니들이 부자가 내는 세금 대신 내주던가 아 니들은 '전업투자자'시라 세금을 안 내던가? 혼자 부가가치세 20% 내고 다니든가 ㅋㅋ|ㅇㄷ (2022.12.28 11:33:02): 민주당지지자 빨갱이 또 기어들어왔네 - dc App|ㅇㅇ (2022.12.28 11:58:53): 재벌 까는게 빨갱이냐 지금 한국 재벌구조가 세계어디에도 없는 이상한 구조인데 이딴 우덜식 재벌경영 까면 빨갱이?? 만능이네 재벌이 영어로 어떻게 번역하는 줄 아냐 재벌이야 영단어에는 없는 거라 빙신아|ㅇㅇ (2022.12.28 12:00:04): 코갤에서 쥐좆으로 투자하는 거지 새끼가 할말 없으니 하는 말이 빨갱이 타령이던데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|ㅇㅇ (2022.12.28 15:30:04): 30만 되도 이지릴안해|ㅇㅇ (2022.12.28 16:37:25): ㄴ 진짜 그런지 니가 증명가능함? 그 증명비는 서민들 세금부담 증가인데? 0% 상속세 중국에선 주주자본주의 천하가 열렸다드냐? ㅋㅋㅋ 꿈깨라|ㅇㅇ (2022.12.28 12:55:33): 해외에서 재벌들이 승계하는 거 ㅈㄴ 많은데 헛소리하네|네잎회 (2022.12.28 15:43:53): 으따 상속세도 안내고, 주주들 돈도 훔치면, 2배로 이득인데, 상속세 없어지면 주주들 돈은 안 훔칠 것이라는 근거가 도대체 머임? 나는 대주주할증은 비합리적인 부분이 있어서 폐지해도 상속세 50%는 높지도 낮지도 않은 뉴트럴이라고 생각함 ㅇㅇ|ㅇㅇ (2022.12.28 20:49:40): 대깨냐?|ㅇㅇ (2022.12.29 18:48:52): 꼬우면 코스피 안하고 에센피하면된다",2022-12-28 05:54:29,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2545745&exception_mode=recommend&search_pos=-2544707&s_type=search_subject_memo&s_keyword=%EC%8B%9C%EC%9E%A5&page=1
우리삼촌 리딩방에서 1월이 바닥이라고 몰빵하래,현금 준비한거 전부 시장에 투하할 준비하라고 한다 아 씨발 우리삼촌 어떻게 구원하지,ㅇㅇ (2022.12.27 19:54:18): 리딩방 초고수노|ㅇㅇ (2022.12.27 19:55:09): 풀숏각인가|ㅇㅇ (2022.12.27 20:06:42): 하앍하앍 숏 대기|ㅇㅇ (2022.12.27 23:08:04): 리딩방 주인이 파월인가보노ㅋㅋㅋ|ㅇㅇ (2022.12.28 11:24:05): 더 떨어질수는 있어도 미국증시면 충분히 들어갈만한  포지션이라고봄  - dc App,2022-12-27 19:51:40,https://gall.dcinside.com/mgallery/board/view/?id=kospi&no=2545103&exception_mode=recommend&search_pos=-2544707&s_type=search_subject_memo&s_keyword=%EC%8B%9C%EC%9E%A5&page=1
