Company Name,Industry,Listing Date,Current Price,Price Change (%),Offering Price,Change from Offering Price (%),Opening Price,Opening/Offering (%),First Day Closing Price,Financial Date,Annual Data,Operating Profit Margin,ROE,Debt Ratio,Quick Ratio,EPS,Competition Rate,Interest Rate,y
오토앤,자동차부품,2022-01-20,4010.0,-2.79,5300.0,-24.34,8800.0,66.04,11400.0,2021.12,V,5.84,16.75,147.49,88.45,193.0,2395.63,1.25,115.09433962264151
케이옥션,판매업체,2022-01-24,3995.0,2.17,20000.0,-80.03,40000.0,100.0,52000.0,2021.12,V,35.58,22.02,33.97,139.85,476.0,1408.33,1.25,160.0
애드바이오텍,제약,2022-01-24,2820.0,-0.35,7000.0,-59.71,6730.0,-3.86,5950.0,2021.12,V,-13.13,-36.92,310.52,39.98,-347.0,27.2,1.25,-15.0
LG에너지솔루션(유가),전기제품,2022-01-27,381500.0,-5.22,300000.0,27.17,597000.0,99.0,505000.0,2021.12,V,4.3,10.68,171.83,59.3,3963.0,69.34,1.25,68.33333333333333
스코넥,소프트웨어,2022-02-04,3065.0,-2.85,13000.0,-76.42,26000.0,100.0,24450.0,2021.12,V,-53.22,339.71,-1256.07,48.83,-393.0,1751.25,1.25,88.07692307692308
이지트로닉스,전기제품,2022-02-04,4900.0,-3.73,22000.0,-77.73,23450.0,6.59,25500.0,2021.12,V,-0.17,0.47,82.61,115.66,16.0,887.4,1.25,15.909090909090908
아셈스,화학,2022-02-07,6800.0,-1.02,8000.0,-15.0,16000.0,100.0,13500.0,2021.12,V,14.54,16.98,104.1,75.31,599.0,2435.07,1.25,68.75
나래나노텍,디스플레이장비및부품,2022-02-08,2910.0,-1.52,17500.0,-83.37,15750.0,-10.0,13900.0,2021.12,V,17.11,32.21,138.95,49.49,2028.0,24.36,1.25,-20.57142857142857
인카금융서비스,손해보험,2022-02-16,6430.0,-0.31,18000.0,-64.28,17250.0,-4.17,14400.0,2021.12,V,6.72,49.26,418.09,110.73,365.0,25.29,1.25,-20.0
바이오에프디엔씨,생물공학,2022-02-21,13660.0,-0.87,28000.0,-51.21,25200.0,-10.0,22200.0,2021.12,V,26.21,20.54,45.06,113.34,393.0,4.74,1.25,-20.714285714285715
퓨런티어,전자장비와기기,2022-02-23,23850.0,-4.98,15000.0,59.0,30000.0,100.0,31200.0,2021.12,V,5.5,29.55,37.76,198.26,432.0,2683.0,1.25,108.0
브이씨,레저용장비와제품,2022-02-24,2865.0,-1.21,15000.0,-80.9,17400.0,16.0,15350.0,2021.12,V,15.69,27.88,81.47,237.51,1177.0,46.41,1.25,2.3333333333333335
스톤브릿지벤처스,창업투자,2022-02-25,3885.0,-2.14,8000.0,-51.44,7200.0,-10.0,6510.0,2021.12,V,64.81,43.0,26.56,,1512.0,22.73,1.25,-18.625
풍원정밀,디스플레이장비및부품,2022-02-28,8520.0,-3.4,15200.0,-43.95,20200.0,32.89,21450.0,2021.12,V,7.3,11.05,131.43,24.28,159.0,2235.98,1.25,41.118421052631575
